Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
HES1	1	0.333	0.333	0	1	0	0	2	0.887346666666667	1	1	0.981816385018282	0.601181309363022	1	2.08437292072413	0.00162602120549818	TRUE	1	10	1
STARD7	1	0.333	0.333	0	1	0	1	1	0.25958	0.666666666666667	0.666666666666667	0.322017985966993	0.407356480540322	1	1.70060159040391	3.89423787110382e-15	FALSE	15	73	2
ZFP36	1	0.333	0.333	0	1	0	0	2	0.672	1	1	0.978011661231347	0.25142418044583	0.666666666666667	0.207810941146445	0.884304858201973	FALSE	243	17	3
TM9SF3	1	0.333	0.333	0	1	0	2	0	0.430216666666667	1	-1	0.375012352999308	0.285157588710634	0.666666666666667	1.43804060650559	2.99184496355715e-08	FALSE	114	38	4
MDK	1	0.333	0.333	0	0	1	0	2	1.55398333333333	1	-1	0.912516058899101	0.13481446032544	0.333333333333333	-0.0436236609219831	0.965894597273781	FALSE	2335	2	5
CEBPA	1	0.333	0.333	0	1	0	1	1	0.850802	0.666666666666667	0.666666666666667	0.966548077873308	0.20678200522078	0.333333333333333	0.630548315961636	0.443337928957079	FALSE	550	11	6
ID2	1	0.333	0.333	0	0	1	0	2	0.525641	1	-1	0.996195276213065	0.244243328476474	0.333333333333333	0.118479693009296	0.925170745718091	FALSE	277	27	7
LTB	2	0.667	0.667	0	0	1	2	0	0.6905	1	1	0.971093981618737	0.0598607535926839	0.333333333333333	-0.170756404427521	0.884304858201973	FALSE	7951	1	8
IER3	1	0.5	0.333	1	0	1	0	1	1.355645	1	-1	0.981371677043186	0.142421307700989	0.333333333333333	-0.383794198604287	0.859873852915114	FALSE	1994	4	9
GSE1	0	0	0	0	1	0	2	0	0.287288666666667	1	-1	0.686876173534934	0.453548035086196	1	1.23757897211237	0.106359695843628	FALSE	3	3221	10
MCEMP1	1	0.333	0.333	0	0	1	1	1	1.16269366666667	0.666666666666667	-0.666666666666667	0.992612906413677	0.134681541400079	0.666666666666667	0.292471648550408	0.87516963244825	FALSE	2341	5	11
DDI2	1	0.5	0.333	1	1	0	0	1	0.39	1	1	0.23371874691175	0.233090220012425	0.666666666666667	0.791618351159746	0.0435410586319946	FALSE	326	43	12
TIGD1	0	0	0	1	1	0	0	1	1.0002575	1	1	0.50363178179662	0.360997653327032	1	1.53498545879762	2.73547212564435e-08	FALSE	50	321	13
DNAJB5	0	0	0	0	0	1	1	1	0.885156666666667	0.666666666666667	-0.666666666666667	0.566113252297658	0.369367157172389	1	1.59542436945639	4.27779580329795e-08	FALSE	41	396	14
MSH5	0	0	0	1	0	1	0	1	0.46707	1	-1	NA	0.415345300278953	1	1.69684879407157	0.00171906142903617	FALSE	12	1477	15
HIBADH	0	0	0	0	1	0	2	0	0.90617	1	-1	0.498122344105149	0.35587239040567	1	1.49217820483511	1.18797966855451e-05	FALSE	52	377	16
LONP1	0	0	0	0	0	1	1	1	0.0829	0.666666666666667	-0.666666666666667	0.201477418717265	0.461893610845029	1	1.75584022506159	1.179715971547e-09	FALSE	2	10950	17
JUNB	0	0	0	0	0	1	1	1	0.243916666666667	0.666666666666667	-0.666666666666667	0.965806897914814	0.430313723210453	1	1.27780760243735	0.0107369453027286	FALSE	6	4018	18
SIDT2	1	0.5	0.333	1	0	1	0	1	1.009065	1	-1	0.492291728431663	0.120740359313566	0.333333333333333	0.287870213815551	0.731496346220369	FALSE	3022	8	19
