Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
MECP2	11	0.579	0.579	0	0	4	10	0	1.09408842105263	1	1	0.221291629607669	0.0938785534915522	0.5	0.378048241792534	0.0438504815919051	FALSE	3471	1	1
PCDHGA8	4	0.235	0.211	2	2	1	3	6	0.621049411764706	0.666666666666667	0.666666666666667	0.193398557169681	0.259598242318557	0.785714285714286	0.949426826215762	9.28980412973722e-10	FALSE	1	4721	2
LMO2	10	0.526	0.526	0	1	3	5	5	1.64841263157895	0.571428571428571	-0.571428571428571	0.945300919063149	0.113530725575956	0.5	-0.158934210787796	0.698342216221527	FALSE	1248	4	3
PCDHGB1	7	0.5	0.368	5	0	3	1	5	1.04455785714286	0.888888888888889	-0.888888888888889	0.458296274335409	0.194141523356464	0.571428571428571	0.657629990418839	9.20373060676195e-12	FALSE	14	464	4
PCDHGB4	6	0.429	0.316	5	2	1	2	4	0.747584	0.666666666666667	0.666666666666667	NA	0.216120940144542	0.785714285714286	0.854505988245479	9.20373060676195e-12	FALSE	6	1296	5
PCDHGA5	6	0.429	0.316	5	2	1	0	6	1.23159928571429	0.888888888888889	0.888888888888889	0.41021840102777	0.207981461269346	0.571428571428571	0.778367052630889	1.60277708327952e-12	FALSE	9	1150	6
LRRC61	9	0.562	0.474	3	4	0	6	1	2.6460925	0.909090909090909	-0.909090909090909	0.826835655697203	0.128007027298088	0.5	-0.123554342369347	0.674330042822831	FALSE	504	23	7
PCDHGA9	6	0.4	0.316	4	3	0	1	6	1.08608466666667	0.9	0.9	0.418989030536614	0.201142272217521	0.714285714285714	0.655314086201335	6.99077101661286e-07	FALSE	10	1174	8
PCDHGA6	5	0.357	0.263	5	1	2	2	4	0.855235714285714	0.666666666666667	-0.666666666666667	NA	0.218912813688504	0.714285714285714	0.892884492853178	1.68617059110066e-11	FALSE	5	2548	9
PCDHGB3	4	0.286	0.211	5	2	1	2	4	0.722192857142857	0.666666666666667	0.666666666666667	NA	0.233028141114516	0.714285714285714	0.923241909184152	1.15550440256797e-10	FALSE	3	4605	10
PCDHGB5	2	0.111	0.105	1	1	2	5	5	0.870497777777778	0.538461538461538	-0.538461538461538	0.629138254768258	0.235022180028505	0.714285714285714	0.737793426470657	1.30938852378049e-06	FALSE	2	9953	11
MCAM	11	0.688	0.579	3	3	1	1	6	0.88751125	0.818181818181818	0.818181818181818	0.850973416345489	0.0646416539574346	0.357142857142857	-0.139247699928969	0.417938500961535	FALSE	10128	2	12
NLRP2	10	0.833	0.526	7	3	1	0	6	3.22938333333333	0.9	0.9	NA	0.069574982400174	0.357142857142857	-0.094931592977076	0.625905156663811	FALSE	8792	3	13
SLC45A3	9	0.474	0.474	0	2	2	5	5	0.836794894736842	0.5	-0.5	0.823080343907501	0.123493602119149	0.357142857142857	-0.0336812859286375	0.898007367511689	FALSE	657	45	14
