Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
HES1	2	1	1	0	1	0	0	1	0.90635	1	1	0.981816385018282	0.335882573093011	0.9	-0.0459001162503607	0.953270020622137	FALSE	6	398	1
MEF2D	1	1	0.5	1	0	0	1	0	0.6081	1	1	0.336940409131337	0.364503642364152	1	0.745495586224093	0.142573150267435	FALSE	2	4324	2
MAP3K19	2	1	1	0	1	0	0	1	2.10775	1	1	0.554797904931317	0.192083533604216	0.7	0.433197159877951	0.372284674504038	FALSE	619	14	3
GNAS	1	1	0.5	1	0	1	0	0	0.05079	1	-1	0.882794742563494	0.370906102867412	0.8	-0.00358802511226042	0.993517921054286	FALSE	1	9158	4
C11orf97	2	1	1	0	0	1	0	1	2.94105	1	-1	0.382942978555193	0.0220865376423967	0.7	-0.145915774366211	0.618292360071366	FALSE	14816	1	5
TLCD1	2	1	1	0	1	0	0	1	0.722	1	1	0.734237572882696	0.307148778371565	1	0.524748984007464	0.284910293523715	FALSE	24	646	6
WRAP53	2	1	1	0	1	0	0	1	0.71475	1	1	0.127705306848503	0.305075169140971	0.8	0.698312662028445	0.0467606139968264	FALSE	27	661	7
ZFP36	1	0.5	0.5	0	1	0	0	1	0.2641	1	1	0.978011661231347	0.344792108010135	0.8	0.233194098727867	0.677936438755144	FALSE	3	6562	8
ATP1A3	2	1	1	0	0	1	1	0	1.381	1	1	0.819621504101196	0.233446610231508	0.9	1.02695984900989	5.50199356778619e-06	FALSE	213	106	9
CCDC88B	2	1	1	0	0	1	1	0	1.8194	1	1	0.526608360509932	0.181201821695636	1	1.17576254907824	2.43795740170516e-05	FALSE	827	28	10
PARD6B	2	1	1	0	1	0	0	1	0.530695	1	1	0.74182231445795	0.305248728487897	0.9	0.456782580259649	0.342665905221119	FALSE	25	1023	11
CACNG5	2	1	1	0	0	1	1	0	2.40225	1	1	0.681391441842079	0.109073365765445	0.5	0.476141927977109	0.197769590015561	FALSE	4345	6	12
TUBB4B	2	1	1	0	1	0	0	1	0.64109	1	1	0.616859373455875	0.294182397225963	0.8	-0.254951972428195	0.598280048687534	FALSE	40	789	13
CYP4X1	2	1	1	0	0	1	0	1	2.5716	1	-1	0.904536021345983	0.0051352137214646	0.1	NA	NA	FALSE	17575	2	14
INHBE	1	0.5	0.5	0	1	0	1	0	0.944775	1	-1	0.981618737029351	0.326655323225184	0.9	0.731000100048828	0.0793109928365233	FALSE	11	3363	15
PRRT2	2	1	1	0	0	1	1	0	0.75595	1	1	0.666469018677735	0.274989135702905	1	0.848332379097032	0.000928035067006029	FALSE	70	585	16
ATP6V1B1	2	1	1	0	1	0	0	1	2.45985	1	1	0.657525447178575	0.0275465797557963	0.1	0.0597212664605031	0.896364885508057	FALSE	13971	3	17
UBTF	1	0.5	0.5	0	0	1	1	0	0.10879	1	1	0.26662713706888	0.339196930163927	0.8	0.535788743624212	0.0242896443547101	FALSE	5	8563	18
CKS1B	2	1	1	0	1	0	0	1	0.6315	1	1	0.810677932602036	0.280942530687669	0.9	0.520558738256334	0.148232656073571	FALSE	54	804	19
SLC38A5	1	1	0.5	1	0	0	1	0	1.683	1	1	0.840152188951477	0.314490648507807	0.8	1.39844516794365	6.46359595092928e-10	FALSE	17	2580	20
PCBP4	1	1	0.5	1	0	0	1	0	1.18	1	1	0.565841486312877	0.316683302540223	0.8	0.969224461145466	3.102192859535e-05	FALSE	15	2974	21
