Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
DEPP1	3	0.75	0.75	0	0	0	3	1	1.61755	0.75	0.75	0.989524656586619	0.185513278718226	0.777777777777778	-0.330217108821823	0.64046500214419	FALSE	651	2	1
LAMA5	3	0.75	0.75	0	0	0	4	0	0.797075	1	1	0.841288664887835	0.236927531618605	0.888888888888889	0.200112009799215	0.739889409847124	FALSE	186	7	1
MFAP4	3	0.75	0.75	0	0	0	4	0	0.614975	1	1	0.933837335705109	0.228543619956138	0.888888888888889	0.750190960238316	0.0178880806688717	FALSE	221	10	3
ZBTB18	2	0.5	0.5	0	0	0	4	0	0.17069	1	1	0.796126099416938	0.426725880108288	0.888888888888889	0.92498923902518	0.0012219834324089	FALSE	1	3388	4
SH2D3C	2	0.5	0.5	0	0	0	3	1	0.9491625	0.75	0.75	0.811542642553612	0.282107415147535	0.777777777777778	0.155481491954205	0.835355652673968	FALSE	58	121	5
SERPINE1	2	0.5	0.5	0	0	0	0	4	1.053925	1	-1	0.99873999407056	0.269382707428457	0.777777777777778	0.0494273832607917	0.941585011307784	FALSE	83	95	6
ID1	2	0.5	0.5	0	0	0	2	2	0.447264	0.5	-0.5	0.997776460124518	0.340329803176201	0.888888888888889	0.114216924824909	0.878900226712931	FALSE	11	728	7
TCF4	4	1	1	0	0	0	4	0	1.13195	1	1	0.943398557169681	0.0648711067302267	0.444444444444444	0.387843403481671	0.0510255471015392	TRUE	8848	1	8
PARP10	2	0.5	0.5	0	0	0	4	0	0.654875	1	1	0.846229864611128	0.296278575548153	0.777777777777778	0.137389627362218	0.784799229477108	FALSE	37	305	9
SAPCD2	3	0.75	0.75	0	0	0	3	1	0.3264925	0.75	0.75	0.733990512896531	0.192565400686412	0.777777777777778	-0.00305628272206171	0.994394857124871	FALSE	556	24	10
ABCA2	2	0.5	0.5	0	0	0	3	1	0.51451	0.75	0.75	0.557762624765293	0.304650643985906	0.777777777777778	0.0431375074757421	0.949220629396185	FALSE	29	516	11
TTYH2	2	0.5	0.5	0	0	0	3	1	0.7256225	0.75	0.75	0.720896333629805	0.274881043203067	0.777777777777778	0.146407117328253	0.776293676979696	FALSE	69	236	12
SLC48A1	2	0.5	0.5	0	0	0	2	2	0.34555	0.5	-0.5	0.494169384326514	0.332030021032883	0.888888888888889	0.812444012459559	0.00393462969138721	FALSE	14	1252	13
TAGLN2	2	0.5	0.5	0	0	0	1	3	0.44565	0.75	-0.75	0.803043779029548	0.311091620318226	0.888888888888889	0.562975338777849	0.146623804066068	FALSE	24	732	14
SH2B3	1	0.25	0.25	0	0	0	1	3	0.1330375	0.75	-0.75	0.887390058306157	0.393393125223465	0.888888888888889	1.18703844556823	4.81918965981282e-07	FALSE	2	9567	15
TMEM129	1	0.25	0.25	0	0	0	2	2	0.21571	0.5	-0.5	0.231939915011365	0.391418275910364	0.777777777777778	0.429744752831557	0.185184170531581	FALSE	3	7611	16
IGDCC3	3	0.75	0.75	0	0	0	4	0	1.0571	1	1	0.764848305168495	0.0689035005309687	0.333333333333333	-0.0134028978332719	0.973713999119588	FALSE	8232	3	17
PLEKHJ1	2	0.5	0.5	0	0	0	0	4	0.2095625	1	-1	0.0493872912343117	0.343906584256362	1	1.22608197810653	6.98364622113331e-13	FALSE	9	2841	18
TACC3	1	0.25	0.25	0	0	0	2	2	0.3015325	0.5	-0.5	0.779301314359126	0.384926245578459	0.777777777777778	0.426515037729778	0.189895398159367	FALSE	4	6458	19
FDXR	3	0.75	0.75	0	0	0	1	3	0.62065	0.75	-0.75	0.962496294100208	0.120759590666962	0.666666666666667	0.0210154880776852	0.957055759935156	FALSE	2929	9	20
CDKN1A	2	0.5	0.5	0	0	0	2	2	0.87425	0.5	-0.5	0.990611720525744	0.238354655149596	0.888888888888889	0.367024544097491	0.254116790420927	TRUE	181	149	21
FBXO31	3	0.75	0.75	0	0	0	2	2	0.214765	0.5	-0.5	0.0747603518134203	0.191237012914431	0.777777777777778	0.109561879373816	0.860580804282725	FALSE	576	49	22
SH3TC1	1	0.25	0.25	0	0	0	2	2	0.557595	0.5	-0.5	0.868366439371479	0.35869316282334	0.888888888888889	0.896052139269699	0.011163753334323	FALSE	8	4916	23
KCNH2	2	0.5	0.5	0	0	0	4	0	0.8763475	1	1	0.84474750469414	0.221463644660902	0.777777777777778	0.721339406380105	0.00580891504066526	FALSE	272	147	24
GSE1	1	0.25	0.25	0	0	0	3	1	0.1890125	0.75	0.75	0.686876173534934	0.37459048053153	0.888888888888889	0.206305289007113	0.807874968051059	FALSE	5	8176	25
ODC1	3	0.75	0.75	0	0	0	1	3	0.265675	0.75	-0.75	0.773223638699476	0.163452003833209	0.777777777777778	-0.116130460804276	0.825006227691355	FALSE	1119	38	26
TLCD1	2	0.5	0.5	0	0	0	3	1	0.56997	0.75	0.75	0.734237572882696	0.25900204032588	0.777777777777778	0.35040590077932	0.515289908629936	FALSE	106	412	27
BBC3	2	0.5	0.5	0	0	0	1	3	0.3456175	0.75	-0.75	0.825970945745627	0.299739925638827	0.777777777777778	-0.181834762537338	0.797975523615201	FALSE	35	1250	28
TRAF4	1	0.25	0.25	0	0	0	0	4	0.228125	1	-1	0.57560035576638	0.368975880235779	0.777777777777778	0.394515773244839	0.555309262802755	FALSE	6	7403	29
CSRP1	2	0.5	0.5	0	0	0	2	2	0.568505	0.5	-0.5	0.840078070955628	0.256596448301328	0.888888888888889	0.356783183081274	0.238143046312772	FALSE	118	414	30
DACT3	3	0.75	0.75	0	0	0	3	1	0.527165	0.75	0.75	0.768109496985868	0.104517730600079	0.555555555555556	0.0179690012331424	0.971708086519823	FALSE	4155	12	31
EFNA1	3	0.75	0.75	0	0	0	2	2	0.881775	0.5	-0.5	0.944905623085285	0.0571168745101354	0.333333333333333	-0.136694875543425	0.781715050713653	FALSE	10029	5	32
WNT9A	2	0.5	0.5	0	0	0	2	2	1.2923	0.5	-0.5	0.56379088842771	0.177125780390872	0.777777777777778	0.118135253046065	0.821575632530483	FALSE	795	71	33
CACFD1	3	0.75	0.75	0	0	0	3	1	0.1986925	0.75	0.75	0.28990018776559	0.164424160847757	0.777777777777778	0.115788081705412	0.799713071978462	FALSE	1092	53	34
TFPI2	3	0.75	0.75	0	0	0	0	4	0.953075	1	-1	0.993675264354185	0.0273047392847447	0.222222222222222	NA	NA	FALSE	14882	4	35
SECTM1	1	0.25	0.25	0	0	0	3	1	1.1056175	0.75	0.75	0.891318312086175	0.331213599814458	0.888888888888889	0.584517112882265	0.0024907901764917	FALSE	15	4164	36
NEK2	3	0.75	0.75	0	0	0	2	2	0.31255075	0.5	-0.5	0.973515169483151	0.130769743357846	0.666666666666667	-0.344052078769515	0.270430816746117	FALSE	2358	27	37
CLIP2	3	0.75	0.75	0	0	0	3	1	0.26093	0.75	0.75	0.580788615475837	0.144795551964243	0.777777777777778	-0.241176823649152	0.706700279070865	FALSE	1693	40	38
LRRC26	1	0.25	0.25	0	0	0	2	2	0.3801	0.5	-0.5	0.726405771321277	0.335121683802091	0.777777777777778	-0.0125024561947615	0.97906237836387	FALSE	12	5752	39
SMARCD3	3	0.75	0.75	0	0	0	4	0	0.51746025	1	1	0.828540369601739	0.0905446860501648	0.666666666666667	0.468284619308056	0.00795530705919299	FALSE	5503	13	40
MIDEAS	1	1	0.25	3	0	0	0	1	0.2299	1	-1	NA	0.342532155516735	0.777777777777778	0.0617828894318331	0.921301456356401	FALSE	10	7376	41
CAPN5	2	0.5	0.5	0	0	0	3	1	0.7553125	0.75	0.75	0.605593438086767	0.206139881399531	0.777777777777778	0.544848302144699	0.0428302527147278	FALSE	401	211	42
BIRC5	3	0.75	0.75	0	0	0	1	3	0.3242925	0.75	-0.75	0.971588101591066	0.111780996926081	0.777777777777778	0.292666834587068	0.305782650622905	FALSE	3517	25	43
TSC2	2	0.5	0.5	0	0	0	4	0	0.30166	1	1	0.123431169087855	0.286310457562784	0.888888888888889	0.220726171612862	0.624055813480184	FALSE	55	1649	44
RCOR2	2	0.5	0.5	0	0	0	4	0	0.8828	1	1	0.739524656586619	0.184889181013661	0.777777777777778	-0.0432836224905877	0.937113421609065	FALSE	660	144	45
MROH6	2	0.5	0.5	0	0	0	3	1	0.339825	0.75	0.75	0.275323648581876	0.271811128116373	0.777777777777778	-0.0262315329504261	0.970365322310881	FALSE	75	1289	46
IGSF3	3	0.75	0.75	0	0	0	4	0	0.5882575	1	1	0.855939322067398	0.0640497171017167	0.444444444444444	0.166109171456196	0.709378948866244	FALSE	8959	11	47
NTSR1	2	0.5	0.5	0	0	0	2	2	0.7572575	0.5	-0.5	0.845142800672003	0.198728585199891	0.777777777777778	0.0902134149972476	0.872595798805426	FALSE	484	208	48
MSRB1	2	0.5	0.5	0	0	0	2	2	0.21242525	0.5	-0.5	0.507436505583556	0.298796168497222	0.777777777777778	0.213759323051521	0.682020978817501	FALSE	36	2806	49
SF3A2	1	0.25	0.25	0	0	0	1	3	0.206935	0.75	-0.75	0.341807490858781	0.332188599067074	1	1.22032192305702	6.98364622113331e-13	FALSE	13	7785	50
FREM2	3	0.75	0.75	0	0	0	4	0	0.818775	1	1	0.911379582962743	0.0124148562274448	0.111111111111111	NA	NA	FALSE	17172	6	51
KIF2C	3	0.75	0.75	0	0	0	2	2	0.3097225	0.5	-0.5	0.925091412194881	0.110677405765609	0.777777777777778	-0.0947095157515676	0.864112901485378	FALSE	3613	29	52
CDC42BPG	2	0.5	0.5	0	0	0	2	2	0.7159575	0.5	-0.5	0.540097835754521	0.203417344798269	0.777777777777778	-0.217607096460338	0.714606815195058	FALSE	427	246	53
NADK	2	0.5	0.5	0	0	0	1	3	0.13671	0.75	-0.75	0.428599663998419	0.30580662145346	0.888888888888889	0.73991971208291	0.0305926711696338	FALSE	28	3773	54
HES6	2	0.5	0.5	0	0	0	3	1	0.7157925	0.75	0.75	0.753952959778634	0.203034827233519	0.777777777777778	-0.232181410991938	0.57093679734581	FALSE	432	247	55
NUTF2	3	0.75	0.75	0	0	0	0	4	0.24744325	1	-1	0.261661231346971	0.129003902032751	0.666666666666667	-0.0412656690063713	0.952321423131831	FALSE	2437	44	56
NTHL1	2	0.5	0.5	0	0	0	1	3	0.2205375	0.75	-0.75	0.355865204071549	0.293194726834505	0.888888888888889	0.224395128298902	0.618643278686968	FALSE	40	2690	57
SOCS1	2	0.5	0.5	0	0	0	3	1	0.969905	0.75	0.75	0.977665777250716	0.169711588486145	0.777777777777778	-0.06917791938832	0.900110248963111	FALSE	959	113	58
MCFD2	3	0.75	0.75	0	0	0	1	3	0.50106	0.75	-0.75	0.376939420891392	0.0721098821836564	0.444444444444444	0.0914476995744291	0.841902432109136	FALSE	7788	14	59
