Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Nbl1	5	0.417	0.417	0	3	7	2	0	1.3275825	0.75	0.75	0.76771318411697	0.242496550170539	0.764705882352941	0.665238857769456	0.000870470761670334	FALSE	49	5	1
Cdc25b	4	0.333	0.333	0	4	6	2	0	0.904494	0.666666666666667	0.666666666666667	0.698362625807421	0.331297839814575	1	1.20240900041739	8.78388658561635e-12	FALSE	4	63	2
Cbfa2t3	5	0.417	0.417	0	3	7	2	0	1.76239166666667	0.75	0.75	0.809448700615893	0.220268465005481	0.941176470588235	0.434700305743738	0.0231183163353803	FALSE	113	3	3
Hes6	3	0.25	0.25	0	2	8	2	0	1.24286666666667	0.833333333333333	0.833333333333333	0.743352861649392	0.372630936906168	0.941176470588235	1.58307554156891	1.34672732869797e-28	TRUE	2	271	4
Bmp7	6	0.5	0.5	0	2	8	1	1	1.5551	0.75	-0.75	0.885283661308898	0.165833779158361	0.705882352941177	0.110475470077849	0.565109476415315	FALSE	565	1	5
Ddr1	3	0.25	0.25	0	1	9	1	1	0.549534166666667	0.833333333333333	-0.833333333333333	0.746557508387161	0.379495959932297	0.882352941176471	1.14839948933356	5.76284619844994e-11	FALSE	1	676	6
Dll1	3	0.25	0.25	0	2	8	1	1	1.50284916666667	0.75	-0.75	0.830404085924591	0.365163721618887	1	1.65214071427276	1.41130775114857e-16	TRUE	3	236	7
Plk3	5	0.417	0.417	0	4	6	1	1	1.183725	0.583333333333333	-0.583333333333333	0.808897901957839	0.22286262801682	0.941176470588235	0.506674044415249	0.00286014802484647	FALSE	103	8	8
Dll3	4	0.333	0.333	0	2	8	2	0	2.0070295	0.833333333333333	0.833333333333333	0.775048820790146	0.239356708692207	0.941176470588235	1.11690674487107	1.36161991302784e-11	TRUE	56	17	9
Rorc	4	0.333	0.333	0	2	8	2	0	1.724075	0.833333333333333	0.833333333333333	0.884507535927094	0.241013253419378	0.764705882352941	0.375637226401672	0.023598308164752	FALSE	53	21	10
Krt8	4	0.333	0.333	0	5	5	1	1	1.26567416666667	0.5	-0.5	0.980646938060187	0.250751060057764	1	0.971835000681663	9.16871405678492e-10	FALSE	41	31	11
Lzts1	4	0.333	0.333	0	3	7	1	1	2.06850416666667	0.666666666666667	-0.666666666666667	0.792999849782184	0.215249156274627	0.941176470588235	0.855471218990454	1.59274619115591e-11	FALSE	132	16	12
