Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Hes1	1	0.167	0.167	0	1	0	5	0	1.00549366666667	1	-1	0.792574232637324	0.300176433245127	1	0.692255447527179	0.999970331795321	TRUE	203	1	1
Bhlhe41	0	0	0	0	0	1	4	1	0.239147666666667	0.833333333333333	0.833333333333333	0.841470131690952	0.4884215328578	1	1.53799531073673	0.999970331795321	FALSE	3	2706	2
Mbnl3	1	0.167	0.167	0	0	1	4	1	0.320693333333333	0.833333333333333	0.833333333333333	0.867733213159081	0.170669301615414	0.5	NA	NA	FALSE	1996	5	3
E2f5	1	0.167	0.167	0	1	0	3	2	0.202565333333333	0.666666666666667	-0.666666666666667	0.678834309749136	0.214886618261803	1	0.714816286932489	0.999970331795321	FALSE	1009	10	4
Pfn1	0	0	0	0	1	0	3	2	0.109190833333333	0.666666666666667	-0.666666666666667	0.573005858494817	0.558312150632501	1	2.16662480403138	0.157185361374088	FALSE	1	10648	5
Irx5	0	0	0	0	0	1	2	3	0.59371	0.666666666666667	-0.666666666666667	0.916854438936458	0.325324337809218	1	1.14134568474853	0.9936566337124	FALSE	115	107	6
Egr2	0	0	0	0	0	1	0	5	0.69654	1	-1	0.999298983526113	0.293786326426579	1	0.84350357389384	0.999970331795321	FALSE	227	68	7
Gse1	0	0	0	0	0	1	1	4	0.129688333333333	0.833333333333333	-0.833333333333333	0.433553652796555	0.495652255503035	1	1.46847357885319	0.999970331795321	FALSE	2	8632	8
Phlda1	1	0.167	0.167	0	0	1	0	5	0.244718333333333	1	-1	0.962345400831205	0.157705899044809	1	0.274936995567165	0.999970331795321	FALSE	2334	8	9
Pde10a	0	0	0	0	0	1	2	3	0.45585	0.666666666666667	-0.666666666666667	0.899904862049972	0.358415792274576	1	1.31234616567394	0.999970331795321	FALSE	57	337	10
Pou4f2	1	0.2	0.167	1	0	1	3	1	0.654624	0.8	0.8	0.874743377897952	0.031876625980616	0	NA	NA	FALSE	10590	2	11
Cdhr4	1	0.167	0.167	0	0	1	0	5	0.262335	1	-1	0.817285063341846	0.121597266780225	1	0.193863203914374	0.999970331795321	FALSE	3629	6	12
Seh1l	1	0.167	0.167	0	1	0	2	3	0.111013333333333	0.666666666666667	0.666666666666667	0.376621100595864	0.183184449875127	1	0.459441999562648	0.999970331795321	FALSE	1672	14	13
Parp10	1	0.167	0.167	0	0	1	1	4	0.24855	0.833333333333333	-0.833333333333333	0.909318511842171	0.118804231340807	1	0.133000405462775	0.999970331795321	FALSE	3783	7	14
Rnf165	1	0.2	0.167	1	1	0	0	4	0.1738226	1	1	0.619548345100396	0.142085767480008	1	0.388976015125058	0.999970331795321	FALSE	2832	11	15
Adamts5	1	0.167	0.167	0	0	1	3	2	0.524191666666667	0.666666666666667	0.666666666666667	0.871263331831155	0.00431890992596085	0	-0.434463009684451	0.999970331795321	TRUE	11323	3	16
Ppargc1b	0	0	0	0	1	0	3	2	0.202369166666667	0.666666666666667	-0.666666666666667	0.803640278403685	0.429578156637927	1	1.62867565689534	0.264892194321866	FALSE	9	3876	17
1190005I06Rik	0	0	0	5	0	0	0	1	1.329	1	-1	NA	0.179189054857391	0.5	0.357702803670536	0.999970331795321	FALSE	1781	20	18
Ndrg1	0	0	0	0	0	1	4	1	0.393186666666667	0.833333333333333	0.833333333333333	0.989534825496971	0.352032393436636	1	0.87108871197912	0.999970331795321	FALSE	62	623	19
Hsf2bp	1	0.167	0.167	0	1	0	3	2	0.150201666666667	0.666666666666667	-0.666666666666667	0.858344599669521	0.129601720958255	1	0.218226840866145	0.999970331795321	FALSE	3252	12	20
Pik3c3	1	0.167	0.167	0	1	0	1	4	0.33167	0.833333333333333	0.833333333333333	0.183065444895098	0.00431890992596085	0	-0.248153882481547	0.999970331795321	FALSE	11323	4	21
Pcdh7	0	0	0	0	0	1	4	1	0.294846666666667	0.833333333333333	0.833333333333333	0.923739422162135	0.387371475108605	1	1.52717672558903	0.929941054488495	FALSE	29	1587	22
Eno3	0	0	0	0	1	0	1	4	0.100825	0.833333333333333	0.833333333333333	0.877272044464473	0.470403569623505	1	1.81308157292929	0.190846544153149	FALSE	4	11577	23
E130308A19Rik	0	0	0	0	1	0	2	3	0.138518333333333	0.666666666666667	0.666666666666667	0.284963196635121	0.44677906288236	1	1.76561282809677	0.50779451702256	FALSE	7	7791	24
Trio	0	0	0	0	0	1	1	4	0.145751666666667	0.833333333333333	-0.833333333333333	0.512493115016774	0.431253019610902	1	1.52022543060554	0.50779451702256	FALSE	8	7158	25
Dyrk1a	0	0	0	0	1	0	3	2	0.115153333333333	0.666666666666667	-0.666666666666667	0.393195132942767	0.447771457749975	1	1.30752564889705	0.930105445634789	FALSE	6	10022	26
Tmem217	1	0.167	0.167	0	0	1	4	1	0.239638333333333	0.833333333333333	0.833333333333333	0.325847478844324	0.0648508668053222	0	-0.106734492093897	0.999970331795321	FALSE	7621	9	27
Disc1	0	0	0	1	0	0	2	3	0.207366	0.6	-0.6	0.422212207701167	0.403278764015473	1	1.36486018400559	0.758462451863776	FALSE	20	3716	28
Memo1	0	0	0	0	1	0	2	3	0.148531333333333	0.666666666666667	0.666666666666667	0.154123479044615	0.42778358926573	1	1.51829872668838	0.261571528736507	FALSE	11	6977	29
Ggnbp2	0	0	0	0	1	0	5	0	0.0466711666666667	1	-1	0.0500976415802914	0.466727772106637	1	1.72288495423769	0.262702356230862	FALSE	5	16426	30
Ovol1	0	0	0	0	1	0	3	2	0.4206331	0.666666666666667	-0.666666666666667	0.482825096389765	0.305443311722912	1	1.09440019297721	0.999970331795321	FALSE	178	469	31
Bcl2l11	0	0	0	0	0	1	2	3	0.344998333333333	0.666666666666667	-0.666666666666667	0.859321015472435	0.333462372654013	1	0.749314909763348	0.999970331795321	FALSE	93	966	32
Anp32b	0	0	0	0	1	0	4	1	0.155798333333333	0.833333333333333	-0.833333333333333	0.415377297080767	0.417148494119721	1	1.46446222229789	0.507920812147874	FALSE	14	6427	33
Rbm15	1	0.167	0.167	0	0	1	3	2	0.145849833333333	0.666666666666667	0.666666666666667	0.24082419508287	0.0667225587829308	0	-0.197222681731692	0.999970331795321	FALSE	7455	13	34
Junb	0	0	0	0	1	0	0	5	0.191815	1	1	0.988383155575585	0.398724645936538	1	1.26276052250389	0.999970331795321	FALSE	23	4338	35
Phtf2	0	0	0	0	1	0	3	2	0.198788333333333	0.666666666666667	-0.666666666666667	0.479545340744079	0.39439279682447	1	1.38547487030936	0.316716883353113	FALSE	25	4017	36
C1qtnf5	0	0	0	5	0	0	1	0	1.217	1	1	NA	0.107109444977419	1	0.266402567015933	0.999970331795321	FALSE	4531	24	37
Egr1	0	0	0	0	0	1	0	5	0.971023333333333	1	-1	0.998022132091533	0.138636578002891	1	0.216116248195479	0.999970331795321	FALSE	2947	37	38
Skil	0	0	0	0	1	0	2	3	0.327323333333333	0.666666666666667	0.666666666666667	0.634520054078414	0.332179836442051	1	0.466644027767266	0.999970331795321	FALSE	98	1160	39
Gm15455	0	0	0	4	0	0	1	1	1.2681	0.5	-0.5	NA	0.0987981407056012	1	NA	NA	FALSE	5090	23	40
Egr3	0	0	0	0	1	0	0	5	0.350528333333333	1	1	0.987106304141004	0.319143011392527	1	0.820788232663799	0.999970331795321	FALSE	129	911	41
Edaradd	0	0	0	0	0	1	2	3	0.53334	0.666666666666667	-0.666666666666667	0.765910570326974	0.23346154630377	1	0.902562380787324	0.999970331795321	FALSE	704	175	42
Itpk1	0	0	0	0	0	1	2	3	0.0879046666666667	0.666666666666667	-0.666666666666667	0.425216564017826	0.428857970227947	1	1.4597217888547	0.30876199493262	FALSE	10	12973	43
Atp6v1fnb	0	0	0	5	0	0	0	1	1.347	1	-1	NA	0.0738234413525335	0	0.0823044443382501	0.999970331795321	FALSE	6918	19	44
Dcst2	0	0	0	5	0	0	0	1	1.08	1	-1	NA	0.109949973600216	1	NA	NA	FALSE	4341	31	45
Rab31	0	0	0	0	1	0	2	3	0.379726333333333	0.666666666666667	0.666666666666667	0.740724049872315	0.301163667994138	1	0.982078006374766	0.999970331795321	FALSE	199	680	46
Smad7	0	0	0	0	0	1	2	3	0.124626666666667	0.666666666666667	-0.666666666666667	0.761854689299484	0.416829890403103	1	1.44462273415672	0.789712572051099	FALSE	15	9106	47
1700029J07Rik	0	0	0	0	0	1	4	1	0.458126666666667	0.833333333333333	0.833333333333333	0.424440438636022	0.256526620609063	1	0.677356031545751	0.999970331795321	FALSE	440	331	48
Olig1	0	0	0	1	1	0	1	3	0.51517	0.8	0.8	0.974112463071454	0.232347846669008	1	0.830841926165248	0.999970331795321	FALSE	722	209	49
Gm21992	0	0	0	5	0	0	1	0	0.1657	1	1	0.141730509238396	0.390582917298029	1	1.43233849623273	0.157127297179078	FALSE	28	5759	50
Sp3	0	0	0	0	1	0	0	5	0.0895583333333333	1	1	0.465124430424115	0.425093931498409	1	1.5611817205423	0.50779451702256	FALSE	13	12812	51
Arid5a	0	0	0	0	0	1	1	4	0.322671	0.833333333333333	-0.833333333333333	0.883731410545291	0.316218581182544	1	0.937284283139196	0.999970331795321	FALSE	138	1208	52
Hnrnpu	0	0	0	1	1	0	2	2	0.179466	0.6	0.6	0.478844324270192	0.382316117385997	1	1.23732969536259	0.995574960114453	FALSE	34	4926	53
Tchh	0	0	0	1	0	1	2	2	0.827547	0.6	-0.6	0.739171799108708	0.129736788732167	1	NA	NA	FALSE	3246	52	54
Amd2	0	0	0	5	0	0	0	1	4.582	1	-1	NA	0.00431890992596085	0	NA	NA	FALSE	11323	15	55
