Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Hes1	4	0.333	0.308	1	0	0	6	6	0.482274166666667	0.5	-0.5	0.792574232637324	0.339895928173009	0.909090909090909	0.171037992645548	0.730378327838723	FALSE	1	732	1
Pcnx	7	0.538	0.538	0	0	0	9	4	0.289496153846154	0.692307692307692	0.692307692307692	0.271443593210155	0.157253626680962	0.909090909090909	0.427964141173695	0.00675028401812286	FALSE	555	6	2
Id2	6	0.462	0.462	0	0	0	6	7	0.477491	0.538461538461538	-0.538461538461538	0.983951730008512	0.208737595339391	0.818181818181818	0.0383251033979248	0.944517677483162	FALSE	107	32	3
Dixdc1	5	0.385	0.385	0	0	0	5	8	0.515947846153846	0.615384615384615	-0.615384615384615	0.727930499223875	0.237072944280295	0.818181818181818	0.720347925971945	0.000282727781791115	FALSE	43	158	4
Klf6	4	0.308	0.308	0	0	0	5	8	0.351546692307692	0.615384615384615	-0.615384615384615	0.889439687546943	0.283004185187946	0.909090909090909	0.821426878940276	0.000724439819732656	FALSE	7	978	5
Tnrc18	4	0.308	0.308	0	0	0	10	3	0.240119461538462	0.769230769230769	0.769230769230769	0.459015572580241	0.288481728101962	0.909090909090909	0.366794838197313	0.220053841822545	FALSE	5	1483	6
Cdk19	6	0.462	0.462	0	0	0	4	9	0.270918769230769	0.692307692307692	-0.692307692307692	0.410044564618697	0.207055115260205	0.727272727272727	0.170777875166451	0.447565987438822	FALSE	113	68	7
Sh3bp5	7	0.583	0.538	1	0	0	5	7	0.4837125	0.583333333333333	-0.583333333333333	0.727730208802764	0.061677175696302	0.454545454545455	-0.0537006768497934	0.815937052006316	FALSE	9113	1	8
Rhobtb1	5	0.417	0.385	1	0	0	9	3	0.432355	0.75	0.75	0.651644885083371	0.235978021709854	0.909090909090909	0.584572585011973	0.0134019418741855	FALSE	47	198	9
Nr4a1	4	0.333	0.308	1	0	0	8	4	0.489085	0.666666666666667	0.666666666666667	0.996294627209454	0.262096872391761	0.909090909090909	0.639436736400947	0.0101099496791853	TRUE	16	723	10
