Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Neurod1	7	0.875	0.875	0	0	4	4	0	4.5021625	1	1	0.973035902057984	0.306967282353245	1	1.33548516287979	6.77796465619202e-07	FALSE	5	1	1
Hes6	4	0.5	0.5	0	1	3	3	1	0.596855	0.75	0.75	0.743352861649392	0.407554488477408	1	1.54221942043962	5.47674083082416e-20	FALSE	1	1783	2
Zc3h12c	5	0.625	0.625	0	1	3	2	2	0.6053975	0.625	-0.625	0.919533323318812	0.299200222914501	0.833333333333333	0.650682373721445	0.046760769274227	FALSE	8	540	3
Cxxc4	7	0.875	0.875	0	1	3	1	3	1.207575	0.75	-0.75	0.704446447348656	0.154339335312431	0.5	0.0904389806422077	0.884738411357141	FALSE	724	6	4
Elavl4	6	0.75	0.75	0	0	4	1	3	1.3411	0.875	-0.875	0.922011917280056	0.203441905377462	0.5	0.0980516375578993	0.879348587733768	FALSE	161	35	5
Tubb3	5	0.625	0.625	0	0	4	2	2	1.80884	0.75	-0.75	0.904411396524961	0.269085636123147	0.833333333333333	0.776937412229364	0.00259975818162541	FALSE	25	228	6
Disp2	6	0.75	0.75	0	0	4	1	3	1.2935725	0.875	-0.875	0.759726603575184	0.206168919775051	0.666666666666667	0.458816080227544	0.149193633403682	FALSE	150	39	7
Nova2	6	0.75	0.75	0	0	4	2	2	1.14989125	0.75	-0.75	0.499949927394722	0.217342246856511	0.666666666666667	0.855267400693003	1.71740497162323e-05	FALSE	104	59	8
Soga1	7	0.875	0.875	0	1	3	1	3	0.75919875	0.75	-0.75	0.565294677282059	0.152962198234302	0.5	0.0578839982130446	0.8940089100122	FALSE	748	11	9
Trim9	7	0.875	0.875	0	0	4	1	3	1.704625	0.875	-0.875	0.79457713684843	0.103916028064614	0.5	-0.130309123991442	0.766172808588469	FALSE	2986	3	10
Neurl1a	5	0.625	0.625	0	2	2	1	3	0.40579375	0.625	-0.625	0.742226228030644	0.284023091794283	0.666666666666667	0.801432820837279	1.14558425062261e-07	FALSE	16	712	11
Stat3	4	0.5	0.5	0	2	2	0	4	0.58981375	0.75	-0.75	0.70029042111061	0.302389435043808	0.833333333333333	0.993965444363524	0.000109934893841021	FALSE	7	1800	12
Cbfa2t2	6	0.75	0.75	0	0	4	2	2	0.41794	0.75	-0.75	0.187622051975364	0.225038533809163	1	0.908155688380802	5.89656996507861e-12	FALSE	83	168	13
Rassf4	4	0.5	0.5	0	3	1	2	2	1.097665	0.625	0.625	0.93836062290321	0.290782002384508	1	1.04429892560116	2.35489013010924e-05	FALSE	13	1165	14
Bcl7a	4	0.5	0.5	0	1	3	2	2	0.7136725	0.625	-0.625	0.405913574683291	0.298046203109096	1	0.997660851538104	8.37210132715815e-09	FALSE	10	1589	15
Pard3	5	0.625	0.625	0	2	2	1	3	0.6493	0.625	-0.625	0.590906814881578	0.257005463233247	0.833333333333333	0.936429528248543	8.17383042487217e-05	FALSE	33	519	16
Sox4	5	0.625	0.625	0	2	2	2	2	1.03092	0.5	-0.5	0.965600120174253	0.235794387570697	0.833333333333333	0.687919656770084	0.034093360811304	FALSE	55	336	17
Gse1	2	0.25	0.25	0	1	3	1	3	0.2214275	0.75	-0.75	0.433553652796555	0.369149292335721	1	0.634190505899586	0.0281564246408228	FALSE	2	9980	18
Btbd17	2	0.25	0.25	0	0	4	3	1	1.161342	0.875	0.875	0.704446447348656	0.351436378788018	1	1.36415305614357	1.00701961983747e-09	FALSE	3	6896	19
Ptprn2	6	0.75	0.75	0	0	4	2	2	1.20843625	0.75	-0.75	0.668744679785689	0.169511562301459	0.5	NA	NA	FALSE	444	50	20
Spock1	7	0.875	0.875	0	0	4	2	2	2.04892125	0.75	-0.75	0.803264733864103	0.0433925711707298	0.5	NA	NA	FALSE	11510	2	21
Calm1	5	0.625	0.625	0	0	4	2	2	0.43010375	0.75	-0.75	0.416729257423264	0.251206316065366	0.5	0.226469739460219	0.710053823472371	FALSE	39	686	22
Susd6	4	0.5	0.5	0	3	1	1	3	0.48309625	0.75	0.75	0.406289119222873	0.289916220377202	1	0.871710707430191	8.83975942672424e-07	FALSE	14	1988	23
Xkr7	4	0.8	0.5	3	0	4	1	0	2.68492	1	1	0.707425767362676	0.261495784486955	0.833333333333333	1.1307527955392	1.91615156534897e-09	FALSE	30	957	24
Syt13	4	0.5	0.5	0	0	4	1	3	0.78236	0.875	-0.875	0.851359471233288	0.27573362754176	0.833333333333333	0.517248931626837	0.0206195942109575	FALSE	20	1478	25
Adgrl3	7	0.875	0.875	0	1	3	0	4	1.30608125	0.875	-0.875	0.860672975814932	0.0662536056236597	0.5	-0.0961495787773641	0.841044585694847	FALSE	7445	4	26
Castor2	6	0.75	0.75	0	0	4	1	3	0.555095	0.875	-0.875	0.424665765359772	0.192175385285185	0.666666666666667	0.677458441534311	0.0163733088359788	FALSE	231	131	27
Cbfa2t3	4	0.5	0.5	0	0	4	2	2	0.98081875	0.75	-0.75	0.809448700615893	0.267074345886331	0.833333333333333	0.930677617426525	3.37599923468892e-05	FALSE	26	1257	28
Tmem121b	6	0.75	0.75	0	0	4	1	3	1.8505525	0.875	-0.875	0.617895949126233	0.129539784233516	0.666666666666667	0.215304824887498	0.581823391166297	FALSE	1467	23	29
Coro2b	4	0.5	0.5	0	0	4	3	1	0.98659	0.875	0.875	0.739872815582595	0.266754587479901	0.666666666666667	0.725013884746897	7.03433444295806e-06	FALSE	27	1251	30
Rcan3	4	0.5	0.5	0	2	2	2	2	0.32897625	0.5	-0.5	0.605177507385709	0.288256491895005	0.833333333333333	0.718294936698535	0.000814125384985016	FALSE	15	2389	31
Rcor2	4	0.5	0.5	0	0	4	1	3	0.85889125	0.875	-0.875	0.673351359471233	0.265833590965064	0.666666666666667	0.567066448782944	0.0693700384817238	FALSE	28	1391	32
Tle3	4	0.5	0.5	0	2	2	1	3	0.40588375	0.625	-0.625	0.460768113764959	0.275962986775352	0.666666666666667	0.583674559403487	0.0814475445424617	FALSE	19	2175	33
