Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Bind_logFC	Bind_adj_Pval	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Runx1	6	0.207	0.207	0	2	4	6	15	0.970152651724138	0.703703703703704	-0.703703703703704	0.93685844474488	0.248126651905542	0.873015873015873	0.755225304920957	0.00031147352911799	TRUE	9	20	1
F2r	8	0.276	0.276	0	4	2	4	17	0.852788106896552	0.777777777777778	0.777777777777778	0.901557258024135	0.1635612586653	0.666666666666667	0.439815151719632	0.0224585476279134	FALSE	398	1	2
Cdkn2d	7	0.241	0.241	0	2	4	11	10	0.276399289655172	0.555555555555556	0.555555555555556	0.54030844724851	0.194506972138891	0.777777777777778	0.450720353589459	0.00604873127755018	FALSE	103	16	3
Dmwd	5	0.185	0.172	2	3	2	9	11	0.542872333333333	0.56	0.56	0.545140453657804	0.243609864155197	0.857142857142857	0.38128861342677	0.0754318686615662	FALSE	11	193	4
Tpst2	6	0.207	0.207	0	1	5	10	11	0.348263482758621	0.592592592592593	-0.592592592592593	0.341244804967202	0.220444813397471	0.777777777777778	-0.122421738247274	0.669168998640651	FALSE	32	75	5
Angptl2	8	0.276	0.276	0	0	6	12	9	0.791022068965517	0.666666666666667	0.666666666666667	0.87947523909669	0.119648098168199	0.619047619047619	0.102494697488721	0.640992451779289	FALSE	1991	2	6
Junb	2	0.069	0.069	0	2	4	8	13	0.42539	0.62962962962963	-0.62962962962963	0.988383155575585	0.290011711515858	0.825396825396825	0.19507256770852	0.466849390323002	FALSE	1	4423	7
Gpr146	4	0.138	0.138	0	3	3	6	15	0.449772413793103	0.666666666666667	-0.666666666666667	0.773020880276401	0.244946550226812	0.761904761904762	0.363982450502244	0.0739913279334354	FALSE	10	693	8
Lyl1	3	0.103	0.103	0	1	5	8	13	0.435004344827586	0.666666666666667	-0.666666666666667	0.816233538631015	0.275582279767939	0.841269841269841	0.648724663828196	0.000534883460909473	FALSE	4	1896	9
Arid1a	6	0.207	0.207	0	5	1	12	9	0.197195344827586	0.62962962962963	-0.62962962962963	0.295403334835512	0.199415836786289	0.650793650793651	0.221025708310002	0.383850149540626	FALSE	86	90	10
Polg	6	0.207	0.207	0	4	2	10	11	0.346392931034483	0.555555555555556	0.555555555555556	0.0281908767713184	0.190578102618701	0.873015873015873	0.445318914592317	0.0644949353342605	FALSE	116	76	11
Tgm2	7	0.241	0.241	0	1	5	7	14	0.764589655172414	0.703703703703704	-0.703703703703704	0.985979670522257	0.118790755737479	0.777777777777778	0.335983144714421	0.0577775032585001	FALSE	2052	5	12
Zfp36	3	0.103	0.103	0	2	4	8	13	0.51798424137931	0.62962962962963	-0.62962962962963	0.972309849281458	0.269987604165904	0.841269841269841	0.616422736481029	0.00151766764675637	FALSE	6	1716	13
Ier2	4	0.138	0.138	0	4	2	7	14	0.31120424137931	0.666666666666667	0.666666666666667	0.961619348054679	0.240840234372947	0.793650793650794	0.489037817012809	0.0114546057868284	FALSE	12	895	14
Nfe2	6	0.207	0.207	0	3	3	10	11	0.503047448275862	0.518518518518518	-0.518518518518518	0.821591307395724	0.177120047832811	0.825396825396825	0.358935275393303	0.0478201263765845	TRUE	233	51	15
Arhgef12	7	0.241	0.241	0	3	3	6	15	0.696986206896552	0.666666666666667	-0.666666666666667	0.392569225376796	0.120256965587866	0.80952380952381	0.362496303133669	0.063293958075539	FALSE	1938	7	16
Vim	6	0.207	0.207	0	4	2	6	15	0.369753793103448	0.703703703703704	0.703703703703704	0.941865705272645	0.17983897919733	0.73015873015873	0.100881346367265	0.778215373223519	FALSE	202	73	17
Atp6v0a1	4	0.138	0.138	0	5	1	8	13	0.382863034482759	0.666666666666667	0.666666666666667	0.508912923739422	0.228374275116481	0.841269841269841	0.466239329846859	0.0128080274343783	FALSE	20	778	18
Fer	7	0.241	0.241	0	5	1	4	17	0.66151724137931	0.814814814814815	0.814814814814815	0.413524610685494	0.117034172900844	0.587301587301587	0.0803815938721559	0.661611621783234	FALSE	2172	8	19
Plek	7	0.241	0.241	0	3	3	8	13	0.62847	0.592592592592593	-0.592592592592593	0.960242351409544	0.120013549540399	0.555555555555556	0.187254205238828	0.291778623927879	FALSE	1958	9	20
Ptpn7	6	0.353	0.207	12	0	1	2	12	0.395742941176471	0.866666666666667	-0.866666666666667	0.778904411396525	0.172558474295741	0.603174603174603	0.179620884790753	0.272856498428107	FALSE	272	67	21
Fth1	2	0.069	0.069	0	2	4	11	10	0.189810889655172	0.555555555555556	0.555555555555556	0.603349857293075	0.278745108925634	0.873015873015873	0.813145600987559	1.71745878282333e-06	FALSE	3	6519	22
Ptgs1	7	0.241	0.241	0	6	0	6	15	0.716274482758621	0.777777777777778	0.777777777777778	0.939337038706124	0.103421463141257	0.603174603174603	0.206344342955527	0.233159991470048	FALSE	3265	6	23
Plec	5	0.172	0.172	0	4	2	8	13	0.376641034482759	0.62962962962963	0.62962962962963	0.747784287216464	0.204618030586932	0.793650793650794	0.124484218904227	0.641297102560936	FALSE	69	288	24
Nbeal2	4	0.138	0.138	0	2	4	9	12	0.326258275862069	0.592592592592593	-0.592592592592593	0.526137899954935	0.225150011996083	0.841269841269841	0.348966626005836	0.0478494243132912	FALSE	24	871	25
Itgb2	5	0.172	0.172	0	1	5	10	11	0.55393	0.592592592592593	-0.592592592592593	0.950778629012067	0.190835452551007	0.698412698412698	0.234016557265049	0.335000072110601	TRUE	115	187	26
Rgs2	4	0.138	0.138	0	2	4	7	14	0.638766679310345	0.666666666666667	-0.666666666666667	0.98527865404837	0.215141398546802	0.80952380952381	0.599976429027814	0.00301694107873052	FALSE	41	539	27
Dok2	5	0.179	0.172	1	1	4	9	12	0.557899321428571	0.615384615384615	-0.615384615384615	0.747583996795353	0.189270252815803	0.746031746031746	0.364931832617364	0.0315388531952826	FALSE	120	185	28
Atp2a3	6	0.207	0.207	0	2	4	13	8	0.469436755172414	0.62962962962963	0.62962962962963	0.914976716238546	0.162401083460821	0.650793650793651	0.266545014031704	0.114778130444037	FALSE	417	54	29
Flot1	4	0.138	0.138	0	3	3	6	15	0.213151382758621	0.666666666666667	-0.666666666666667	0.362150117670622	0.229328106766507	0.873015873015873	0.463957531062976	0.016792336813044	FALSE	19	1195	30
Pcyt1a	5	0.172	0.172	0	3	3	14	7	0.293817586206897	0.62962962962963	0.62962962962963	0.56824896099344	0.204871910555192	0.841269841269841	0.538256957583389	0.0135440961373005	FALSE	66	350	31
Tubb5	1	0.034	0.034	0	3	3	11	10	0.154077	0.518518518518518	0.518518518518518	0.757698663061439	0.286525909666868	0.873015873015873	0.665207487808386	0.00197977808369225	FALSE	2	12134	32
Vasp	5	0.172	0.172	0	4	2	10	11	0.298631	0.555555555555556	0.555555555555556	0.423063441990887	0.203478812668151	0.666666666666667	0.404720369595703	0.0143727823442132	FALSE	72	345	33
Lmna	5	0.172	0.172	0	4	2	7	14	0.579118620689655	0.666666666666667	0.666666666666667	0.913624755896049	0.186313932630075	0.952380952380952	0.585053392029529	0.0017971686696363	FALSE	143	177	34
Csf2rb2	7	0.241	0.241	0	5	1	4	17	0.945457586206897	0.814814814814815	0.814814814814815	0.944068899904862	0.0760596660726833	0.412698412698413	0.268426351487538	0.0864958041897632	FALSE	6711	4	35
Ski	6	0.214	0.207	1	3	2	5	16	0.387711214285714	0.730769230769231	0.730769230769231	0.45030293926193	0.163162282778421	0.777777777777778	-0.0720760934951628	0.773026118030252	FALSE	404	69	36
Mnt	3	0.103	0.103	0	3	3	10	11	0.150968824137931	0.518518518518518	-0.518518518518518	0.146587551950328	0.253413493645322	0.793650793650794	0.365478157981618	0.0760768093122194	FALSE	8	3489	37
Ncam1	7	0.241	0.241	0	2	4	16	5	0.990647586206897	0.740740740740741	0.740740740740741	0.878573932201692	0.0583565685933542	0.238095238095238	-0.00267808347093101	0.997279241719531	TRUE	9643	3	38
Creb3	4	0.143	0.138	1	2	3	7	14	0.218024285714286	0.653846153846154	-0.653846153846154	0.273421461118622	0.22476720597987	0.746031746031746	0.470127899758374	0.0054426474730743	FALSE	25	1180	39
Ncf1	5	0.172	0.172	0	3	3	14	7	0.592949310344828	0.62962962962963	0.62962962962963	0.908767713184117	0.183364017706917	0.53968253968254	0.29454380775025	0.0887807490212855	FALSE	173	173	40
Slc37a3	4	0.138	0.138	0	3	3	6	15	0.501283724137931	0.666666666666667	-0.666666666666667	0.284612688398177	0.213995756693781	0.761904761904762	0.46878087105407	0.0128080274343783	FALSE	47	638	41
Nrgn	7	0.25	0.241	1	1	4	8	13	0.515017107142857	0.653846153846154	-0.653846153846154	0.888388162836112	0.114748196851582	0.634920634920635	0.351615765233314	0.018365526904896	FALSE	2309	13	42
Adgre5	5	0.172	0.172	0	4	2	8	13	0.368356068965517	0.62962962962963	0.62962962962963	0.874593160082119	0.192983577534577	0.666666666666667	0.213095142361004	0.263764510174766	FALSE	111	295	43
Tle6	4	0.138	0.138	0	5	1	11	10	0.515518517241379	0.592592592592593	-0.592592592592593	0.73784487506885	0.209943990739178	0.682539682539683	0.359956031312899	0.0848771148809902	FALSE	53	630	44
Arrb1	7	0.241	0.241	0	4	2	8	13	0.456493448275862	0.62962962962963	0.62962962962963	0.824795954133494	0.106790716240691	0.555555555555556	-0.0349930529261453	0.891804739277097	FALSE	2941	14	45
Ubc	2	0.069	0.069	0	3	3	7	14	0.223270655172414	0.62962962962963	-0.62962962962963	0.478443743427971	0.26085326668245	0.80952380952381	0.554969988116675	0.016792336813044	FALSE	7	5955	46
Cyth4	3	0.111	0.103	2	2	3	8	12	0.363383718518519	0.6	-0.6	0.867908467277552	0.226311158878732	0.746031746031746	0.430843519981318	0.0238237754543796	FALSE	22	2097	47
