Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	DE_prior_rank	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
Gpsm2	4	0.4	0.4	0	1	0	4	5	0.2886861	0.6	0.6	0.670947874417906	0.581891746813238	1	FALSE	1	878	1
Mc4r	5	0.714	0.5	3	1	0	2	4	1.14049714285714	0.714285714285714	0.714285714285714	0.748460267387712	0.365001027947411	1	FALSE	106	14	2
Tlcd1	6	0.6	0.6	0	0	1	8	1	0.4765811	0.9	0.9	0.602323368884883	0.25959847023692	1	FALSE	544	3	3
Trak1	5	0.5	0.5	0	1	0	6	3	0.260899	0.7	-0.7	0.260502728956988	0.47432123615191	1	FALSE	12	156	4
Ets1	6	0.6	0.6	0	1	0	5	4	0.431266	0.6	-0.6	0.921786590556307	0.263766112059437	1	FALSE	512	5	5
Id2	5	0.5	0.5	0	1	0	6	3	1.03077	0.7	-0.7	0.983951730008512	0.338717783969409	1	FALSE	164	16	6
Bcan	4	0.4	0.4	0	1	0	3	6	0.690177	0.7	0.7	0.87436783335837	0.482540390566694	1	FALSE	10	324	7
Grk3	6	0.6	0.6	0	1	0	3	6	0.469018	0.7	0.7	0.716538981523209	0.231474244987626	1	FALSE	817	4	8
Sulf2	6	0.6	0.6	0	1	0	7	2	0.377043	0.8	-0.8	0.915302188172851	0.252306614868411	1	FALSE	607	6	9
Gas7	4	0.4	0.4	0	0	1	6	3	0.3298223	0.7	0.7	0.893195132942767	0.513550465009411	1	FALSE	5	756	10
Ppp1r16b	6	0.6	0.6	0	1	0	4	5	0.79271	0.6	0.6	0.819338040158229	0.0238141376345922	0	FALSE	4468	1	11
Lbp	5	0.556	0.5	1	1	0	3	5	1.13154444444444	0.666666666666667	0.666666666666667	0.968954984727855	0.293436285884886	1	FALSE	333	15	12
Pdzrn3	5	0.625	0.5	2	1	0	3	4	0.61503125	0.625	0.625	0.936032246757799	0.336293253187638	1	FALSE	171	32	13
Arid5a	5	0.5	0.5	0	1	0	4	5	0.538294	0.6	0.6	0.883731410545291	0.354310060564572	1	FALSE	127	47	14
Rhoq	6	0.6	0.6	0	1	0	7	2	0.36054	0.8	-0.8	0.582895198037154	0.217467282883219	0	FALSE	1007	7	15
Nfib	6	0.75	0.6	2	0	1	2	5	0.529675	0.75	-0.75	0.845425867507886	0.117406437992149	0	FALSE	4028	2	16
