Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
CDC25B_Cdc25b	10	0.5	0.5	0	4	9	5	1	0.9813514	0.736842105263158	0.736842105263158	4	6	0.353172084781547	0.96969696969697	FALSE	3	9	1
DLL1_Dll1	9	0.45	0.45	0	2	11	5	1	2.170996	0.842105263157895	0.842105263157895	3	6	0.385885437874535	1	TRUE	1	40	2
ID3_Id3	10	0.5	0.5	0	6	7	2	4	1.3093315	0.578947368421053	-0.578947368421053	4	6	0.261971083514167	0.939393939393939	FALSE	28	5	3
GADD45G_Gadd45g	9	0.45	0.45	0	1	12	4	2	1.42836295	0.842105263157895	0.842105263157895	3	6	0.290066898558961	0.818181818181818	FALSE	9	48	4
LZTS1_Lzts1	10	0.5	0.5	0	3	10	3	3	1.9270825	0.684210526315789	-0.684210526315789	4	6	0.193977085732384	0.878787878787879	FALSE	246	3	5
GSE1_Gse1	8	0.4	0.4	0	2	11	4	2	0.75890185	0.789473684210526	0.789473684210526	2	6	0.353713233637487	0.96969696969697	FALSE	2	428	6
DLL3_Dll3	9	0.45	0.45	0	2	11	5	1	2.3498627	0.842105263157895	0.842105263157895	4	5	0.259612864279127	0.939393939393939	TRUE	31	39	7
PLK3_Plk3	10	0.5	0.5	0	4	9	3	3	1.032185	0.631578947368421	-0.631578947368421	5	5	0.206752362083639	0.848484848484849	FALSE	166	8	8
KCNH2_Kcnh2	9	0.45	0.45	0	7	6	3	3	0.76189485	0.526315789473684	0.526315789473684	3	6	0.274910683361786	0.878787878787879	FALSE	15	89	9
HES6_Hes6	8	0.4	0.4	0	2	11	5	1	1.34317	0.842105263157895	0.842105263157895	3	5	0.339104673597317	0.939393939393939	TRUE	5	274	10
BMP7_Bmp7	12	0.6	0.6	0	3	10	2	4	1.37555	0.736842105263158	-0.736842105263158	6	6	0.130705635787378	0.575757575757576	FALSE	1679	1	11
