Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
ESRRG_Esrrg	29	0.358	0.33	7	10	5	11	39	0.597283296296296	0.753846153846154	0.753846153846154	21	8	0.161097482360027	0.393939393939394	FALSE	3	2	1
EFNA5_Efna5	24	0.273	0.273	0	10	5	19	36	0.410884	0.657142857142857	0.657142857142857	16	8	0.144424930061898	0.454545454545455	FALSE	14	16	2
ADGRL2_Adgrl2	24	0.282	0.273	3	11	4	12	40	0.361309388235294	0.761194029850746	0.761194029850746	18	6	0.126732586056444	0.333333333333333	FALSE	56	18	3
PBX3_Pbx3	19	0.224	0.216	3	11	4	11	41	0.347509665882353	0.776119402985075	0.776119402985075	15	4	0.143444976863673	0.424242424242424	FALSE	15	124	4
SKIDA1_Skida1	11	0.145	0.125	12	8	6	14	31	0.263783144736842	0.661016949152542	0.661016949152542	8	3	0.175377666781371	0.484848484848485	FALSE	1	2568	5
SDK1_Sdk1	26	0.317	0.295	6	12	3	6	44	0.611153756097561	0.861538461538462	0.861538461538462	20	6	0.101763531238908	0.333333333333333	FALSE	507	6	6
ID4_Id4	17	0.195	0.193	1	8	7	12	42	0.311219314942529	0.72463768115942	0.72463768115942	9	8	0.142051521513543	0.515151515151515	FALSE	18	291	7
TSHZ1_Tshz1	23	0.271	0.261	3	13	2	11	41	0.375015376470588	0.805970149253731	0.805970149253731	18	5	0.114186300849218	0.393939393939394	FALSE	169	34	8
GFRA1_Gfra1	19	0.221	0.216	2	12	3	9	44	0.345059872093023	0.823529411764706	0.823529411764706	15	4	0.128858209654891	0.272727272727273	FALSE	47	125	9
BMPER_Bmper	25	0.291	0.284	2	13	2	10	43	0.565889244186046	0.823529411764706	0.823529411764706	18	7	0.0949738511236321	0.272727272727273	FALSE	925	7	10
BAZ2B_Baz2b	18	0.205	0.205	0	13	2	9	46	0.211226420454545	0.842857142857143	0.842857142857143	13	5	0.136076839475056	0.454545454545455	FALSE	29	227	11
TRPS1_Trps1	16	0.188	0.182	3	6	9	18	34	0.285957435294118	0.641791044776119	-0.641791044776119	8	8	0.141890151713052	0.363636363636364	FALSE	19	435	12
PLCB4_Plcb4	25	0.294	0.284	3	11	4	11	41	0.41356	0.776119402985075	0.776119402985075	18	7	0.0942640793120662	0.212121212121212	FALSE	982	9	13
TENM3_Tenm3	27	0.325	0.307	5	12	3	8	42	0.452371240963855	0.830769230769231	0.830769230769231	23	4	0.0827476892368689	0.242424242424242	FALSE	2492	4	14
MECP2_Mecp2	46	0.523	0.523	0	3	12	54	1	1.44004729545455	0.942857142857143	0.942857142857143	35	11	0.0589103851168347	0.212121212121212	FALSE	10318	1	15
NOVA1_Nova1	18	0.217	0.205	5	9	6	15	35	0.332827520481928	0.676923076923077	0.676923076923077	12	6	0.126547169668559	0.333333333333333	FALSE	57	195	16
ELMO1_Elmo1	25	0.301	0.284	5	9	6	13	37	0.355904590361446	0.707692307692308	0.707692307692308	18	7	0.0944605996925894	0.242424242424242	FALSE	961	12	17
PAX6_Pax6	13	0.153	0.148	3	9	6	23	29	0.400381647058824	0.567164179104478	0.567164179104478	6	7	0.147446200997217	0.363636363636364	FALSE	10	1205	18
PCDH7_Pcdh7	24	0.276	0.273	1	11	4	15	40	0.466224528735632	0.728571428571429	0.728571428571429	18	6	0.0943814303416921	0.333333333333333	TRUE	974	13	19
KLHDC8A_Klhdc8a	15	0.188	0.17	8	6	8	34	17	0.27922418625	0.646153846153846	0.646153846153846	10	5	0.14005166123656	0.363636363636364	FALSE	25	654	20
BVES_Bves	11	0.155	0.125	17	6	5	19	26	0.392745849295775	0.571428571428571	0.571428571428571	8	3	0.151236901255305	0.454545454545455	FALSE	7	2376	21
MAF_Maf	15	0.179	0.17	4	10	5	10	42	0.314330619047619	0.776119402985075	0.776119402985075	12	3	0.137286019006893	0.393939393939394	FALSE	27	620	22
TLE4_Tle4	16	0.182	0.182	0	7	8	21	34	0.239554079545455	0.6	-0.6	11	5	0.131608654608082	0.363636363636364	FALSE	37	458	23
CBLN2_Cbln2	16	0.203	0.182	9	8	7	25	23	0.520028797468354	0.523809523809524	-0.523809523809524	9	7	0.128936454213802	0.303030303030303	FALSE	46	372	24
MAB21L2_Mab21l2	9	0.117	0.102	11	5	6	15	36	0.470232336363636	0.67741935483871	-0.67741935483871	2	7	0.157674753895102	0.424242424242424	FALSE	4	4373	25
HPCAL4_Hpcal4	25	0.309	0.284	7	1	14	41	8	0.416991543209877	0.859375	0.859375	18	7	0.0829672772445755	0.272727272727273	FALSE	2444	8	26
FGF5_Fgf5	12	0.16	0.136	13	12	2	11	35	0.344674786666667	0.783333333333333	0.783333333333333	8	4	0.145006522035859	0.454545454545455	FALSE	12	1767	27
CAP2_Cap2	24	0.282	0.273	3	11	4	13	39	0.309553741176471	0.746268656716418	0.746268656716418	17	7	0.0936212108774776	0.333333333333333	FALSE	1039	21	28
BAHCC1_Bahcc1	19	0.224	0.216	3	4	11	33	19	0.210474564705882	0.656716417910448	0.656716417910448	13	6	0.115809173662425	0.303030303030303	FALSE	147	149	29
ELAVL2_Elavl2	14	0.161	0.159	1	11	4	24	31	0.310636044827586	0.6	0.6	8	6	0.138921126677878	0.363636363636364	FALSE	26	893	30
AUTS2_Auts2	22	0.259	0.25	3	10	5	10	42	0.366888936470588	0.776119402985075	0.776119402985075	17	5	0.102336670445288	0.363636363636364	FALSE	482	49	31
DOCK1_Dock1	15	0.176	0.17	3	11	4	17	35	0.217250717647059	0.686567164179104	0.686567164179104	6	9	0.132808699979029	0.272727272727273	FALSE	35	704	32
PRDM16_Prdm16	9	0.105	0.102	2	11	4	19	34	0.431927554651163	0.661764705882353	0.661764705882353	4	5	0.152517732661142	0.454545454545455	FALSE	6	4413	33
IRAK1_Irak1	29	0.341	0.33	3	6	9	14	38	0.414803447058824	0.701492537313433	-0.701492537313433	23	6	0.0617212292471284	0.121212121212121	TRUE	9136	3	34
MTNR1A_Mtnr1a	1	0.022	0.011	43	3	4	20	8	0.369742466666667	0.685714285714286	0.685714285714286	1	0	0.173183771065595	0.424242424242424	FALSE	2	15190	35
NUAK2_Nuak2	10	0.119	0.114	4	10	5	15	36	0.26961380952381	0.696969696969697	0.696969696969697	7	3	0.14850878434198	0.333333333333333	FALSE	9	3459	36
SMYD3_Smyd3	18	0.212	0.205	3	9	6	13	39	0.216416458823529	0.716417910447761	0.716417910447761	12	6	0.115640146922401	0.333333333333333	FALSE	150	224	37
DACH1_Dach1	14	0.167	0.159	4	10	5	16	36	0.4181075	0.686567164179104	0.686567164179104	10	4	0.127600296384272	0.363636363636364	FALSE	50	824	38
NREP_Nrep	27	0.318	0.307	3	3	12	37	15	0.350401023529412	0.73134328358209	0.73134328358209	19	8	0.0633294753237392	0.181818181818182	FALSE	8464	5	39
CDS1_Cds1	23	0.261	0.261	0	10	5	15	40	0.292751727272727	0.714285714285714	0.714285714285714	13	10	0.0932027488975098	0.242424242424242	FALSE	1080	40	40
MAST4_Mast4	23	0.271	0.261	3	13	2	10	42	0.304254352941176	0.82089552238806	0.82089552238806	17	6	0.0923930001101554	0.272727272727273	FALSE	1152	38	41
MLLT10_Mllt10	9	0.102	0.102	0	5	10	22	33	0.107497692045455	0.614285714285714	-0.614285714285714	6	3	0.148687603717025	0.424242424242424	FALSE	8	5545	42
CNTN5_Cntn5	17	0.243	0.193	18	8	6	11	29	0.498836042857143	0.685185185185185	0.685185185185185	13	4	0.113343497918338	0.272727272727273	FALSE	183	244	43
CACNA2D3_Cacna2d3	13	0.16	0.148	7	9	4	21	31	0.378101860493827	0.615384615384615	0.615384615384615	10	3	0.131293216361125	0.393939393939394	FALSE	38	1213	44
ELAVL4_Elavl4	19	0.229	0.216	5	10	5	18	33	0.321939168674699	0.651515151515151	0.651515151515151	13	6	0.105615753414652	0.242424242424242	FALSE	359	131	45
BEND7_Bend7	13	0.155	0.148	4	8	7	29	22	0.402806023809524	0.560606060606061	-0.560606060606061	4	9	0.131013849667759	0.393939393939394	FALSE	40	1202	46
CNTNAP2_Cntnap2	17	0.202	0.193	4	9	6	13	38	0.371920023809524	0.712121212121212	0.712121212121212	11	6	0.113241458715681	0.333333333333333	FALSE	186	266	47
BNC2_Bnc2	14	0.175	0.159	8	4	10	20	30	0.58711880625	0.625	-0.625	7	7	0.124749187859225	0.333333333333333	FALSE	67	799	48
LIFR_Lifr	23	0.271	0.261	3	10	5	15	37	0.248403235294118	0.701492537313433	0.701492537313433	17	6	0.0909780352613116	0.272727272727273	FALSE	1312	42	49
CCSER1_Ccser1	18	0.22	0.205	6	6	8	13	38	0.331771134146341	0.707692307692308	-0.707692307692308	11	7	0.10790755992579	0.212121212121212	FALSE	307	196	50
CDC14B_Cdc14b	17	0.193	0.193	0	14	1	9	46	0.233422670454545	0.857142857142857	0.857142857142857	14	3	0.11278988376723	0.424242424242424	FALSE	196	329	51
PARD3_Pard3	15	0.176	0.17	3	11	4	24	28	0.165167682352941	0.582089552238806	0.582089552238806	12	3	0.121954222982145	0.424242424242424	FALSE	87	757	52
CDK18_Cdk18	18	0.205	0.205	0	1	14	42	13	0.370483221590909	0.8	0.8	12	6	0.105799674551166	0.272727272727273	FALSE	357	185	53
RBMS1_Rbms1	24	0.282	0.273	3	10	5	12	40	0.325876391411765	0.746268656716418	0.746268656716418	17	7	0.0788534729385179	0.181818181818182	FALSE	3308	20	54
PLAGL1_Plagl1	23	0.284	0.261	7	10	5	16	35	0.626216777777778	0.681818181818182	0.681818181818182	15	8	0.0830041851527422	0.242424242424242	TRUE	2434	28	55
NTN1_Ntn1	12	0.141	0.136	3	8	7	15	37	0.346887352941176	0.671641791044776	0.671641791044776	8	4	0.131079562839527	0.363636363636364	FALSE	39	1765	56
SOX6_Sox6	10	0.116	0.114	2	6	9	22	31	0.37984723255814	0.588235294117647	-0.588235294117647	5	5	0.140700631994628	0.303030303030303	FALSE	21	3291	57
DGKG_Dgkg	14	0.165	0.159	3	11	4	16	37	0.349520278823529	0.705882352941177	0.705882352941177	12	2	0.122154863494583	0.363636363636364	FALSE	82	856	58
IRX2_Irx2	11	0.153	0.125	16	8	2	24	23	0.480585952777778	0.56140350877193	-0.56140350877193	3	8	0.135026879001596	0.393939393939394	FALSE	33	2323	59
UGT1A1_Ugt1a1	0	0	0	71	3	0	5	6	0.856470588235294	0.642857142857143	0.642857142857143	0	0	0.155459845363666	0.393939393939394	FALSE	5	15748	60
EPHB6_Ephb6	24	0.308	0.273	10	0	12	42	8	0.396816794871795	0.870967741935484	0.870967741935484	21	3	0.0736240975091453	0.242424242424242	FALSE	4658	17	61
CUX2_Cux2	17	0.21	0.193	7	12	3	22	27	0.337317839506173	0.609375	0.609375	9	8	0.108620991126913	0.242424242424242	FALSE	287	277	62
RARB_Rarb	10	0.114	0.114	0	7	8	19	36	0.331602193181818	0.628571428571429	-0.628571428571429	4	6	0.140125132875801	0.454545454545455	FALSE	24	3360	63
SPOCK1_Spock1	18	0.222	0.205	7	11	4	16	32	0.275070062962963	0.682539682539683	0.682539682539683	12	6	0.104553540225926	0.303030303030303	FALSE	394	209	64
SOX5_Sox5	19	0.232	0.216	6	10	5	10	40	0.34418662195122	0.769230769230769	0.769230769230769	15	4	0.0989900467576528	0.363636363636364	FALSE	669	126	65
CDH4_Cdh4	16	0.193	0.182	5	10	5	16	34	0.373723242168675	0.676923076923077	0.676923076923077	13	3	0.111648469677564	0.272727272727273	FALSE	217	394	66
ABCC4_Abcc4	22	0.262	0.25	4	12	3	12	39	0.316282714285714	0.772727272727273	0.772727272727273	13	9	0.0877123407543329	0.303030303030303	FALSE	1704	52	67
TGFBR3_Tgfbr3	19	0.216	0.216	0	11	4	16	39	0.392401363636364	0.714285714285714	0.714285714285714	14	5	0.0971273870378248	0.333333333333333	FALSE	771	121	68
EPB41L3_Epb41l3	23	0.267	0.261	2	12	3	21	32	0.269942139534884	0.647058823529412	0.647058823529412	18	5	0.0839362163936286	0.242424242424242	FALSE	2289	41	69
COCH_Coch	15	0.179	0.17	4	10	5	33	18	0.366587761904762	0.651515151515151	-0.651515151515151	12	3	0.114723928652909	0.393939393939394	FALSE	161	586	70
SLITRK6_Slitrk6	6	0.079	0.068	12	6	8	32	17	0.515811855263158	0.634920634920635	0.634920634920635	1	5	0.147164016381638	0.303030303030303	FALSE	11	8850	71
HCN1_Hcn1	20	0.247	0.227	7	12	3	20	29	0.676335974074074	0.640625	0.640625	13	7	0.0909143304362982	0.303030303030303	FALSE	1320	74	72
