Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
DIXDC1_Dixdc1	7	0.412	0.412	0	0	1	7	8	0.514436588235294	0.5625	-0.5625	5	2	0.199971927830426	0.666666666666667	FALSE	90	11	1
KLF6_Klf6	5	0.294	0.294	0	1	0	5	10	0.340122764705882	0.6875	0.6875	4	1	0.297275559248282	0.8	FALSE	2	532	2
IRF2BP2_Irf2bp2	7	0.438	0.412	1	0	1	6	8	0.248341875	0.6	-0.6	5	2	0.22012385494584	0.666666666666667	FALSE	41	40	3
ARHGEF12_Arhgef12	6	0.375	0.353	1	0	1	9	5	0.402725125	0.666666666666667	0.666666666666667	5	1	0.214797089304568	0.8	FALSE	49	114	4
ILDR2_Ildr2	8	0.533	0.471	2	0	1	7	7	0.730104666666667	0.533333333333333	-0.533333333333333	6	2	0.0774457134154998	0.4	FALSE	5963	1	5
ANKRD40_Ankrd40	3	0.176	0.176	0	0	1	9	6	0.116531529411765	0.625	0.625	2	1	0.311222529672443	0.8	FALSE	1	6157	6
HES1_Hes1	4	0.286	0.235	3	0	1	7	6	0.440870714285714	0.571428571428571	0.571428571428571	4	0	0.287158479092815	0.733333333333333	FALSE	5	1307	7
RHOBTB1_Rhobtb1	6	0.375	0.353	1	0	1	10	4	0.480465	0.733333333333333	0.733333333333333	5	1	0.198996301805004	0.733333333333333	FALSE	93	86	8
CFLAR_Cflar	7	0.438	0.412	1	1	0	5	9	0.34480125	0.666666666666667	0.666666666666667	5	2	0.157265173273821	0.666666666666667	FALSE	352	25	9
CCDC80_Ccdc80	6	0.4	0.353	2	1	0	7	7	0.557269333333333	0.533333333333333	0.533333333333333	5	1	0.18227129795591	0.6	FALSE	148	71	10
ARL4C_Arl4c	7	0.412	0.412	0	1	0	9	6	0.476907058823529	0.625	-0.625	6	1	0.134761895117672	0.6	FALSE	812	13	11
BCL6_Bcl6	5	0.294	0.294	0	1	0	7	8	0.321524294117647	0.5625	0.5625	4	1	0.241877946513572	0.733333333333333	FALSE	24	557	12
TOB2_Tob2	4	0.235	0.235	0	0	1	7	8	0.218363958823529	0.5625	-0.5625	3	1	0.285297159845125	0.8	FALSE	6	2290	13
LDHB_Ldhb	8	0.5	0.471	1	0	1	8	6	0.5131381041875	0.6	0.6	6	2	0.0712338984572671	0.333333333333333	FALSE	7050	2	14
ID2_Id2	6	0.353	0.353	0	1	0	7	8	0.429230764705882	0.5625	0.5625	6	0	0.182456498048377	0.666666666666667	FALSE	146	105	15
KMT2A_Kmt2a	7	0.438	0.412	1	0	1	8	6	0.268755625	0.6	0.6	6	1	0.150572192631953	0.666666666666667	FALSE	449	37	16
MEF2C_Mef2c	7	0.412	0.412	0	0	1	6	9	1.06991647058824	0.625	-0.625	5	2	0.095887585501974	0.4	TRUE	3404	5	17
NR4A1_Nr4a1	4	0.25	0.235	1	0	1	9	5	0.405518125	0.666666666666667	0.666666666666667	4	0	0.251397943970574	0.8	TRUE	13	1389	18
SETD1B_Setd1b	6	0.353	0.353	0	1	0	5	10	0.166676470588235	0.6875	0.6875	5	1	0.206247555542682	0.733333333333333	FALSE	70	265	19
YWHAH_Ywhah	6	0.353	0.353	0	1	0	10	5	0.189344529411765	0.6875	-0.6875	5	1	0.202413546202807	0.733333333333333	FALSE	76	254	20
CIPC_Cipc	5	0.294	0.294	0	1	0	10	5	0.220958117647059	0.6875	-0.6875	3	2	0.237738842390203	0.666666666666667	FALSE	26	786	21
CDK19_Cdk19	6	0.353	0.353	0	0	1	6	9	0.233963176470588	0.625	-0.625	6	0	0.19604039378931	0.666666666666667	FALSE	99	217	22
KLF2_Klf2	4	0.235	0.235	0	1	0	7	8	0.387872588235294	0.5625	0.5625	4	0	0.249748993426454	0.733333333333333	FALSE	15	1445	23
MEF2D_Mef2d	5	0.294	0.294	0	0	1	8	7	0.222405729411765	0.5625	0.5625	4	1	0.232448053754424	0.733333333333333	FALSE	28	779	24
AAK1_Aak1	7	0.412	0.412	0	0	1	6	9	0.27001	0.625	-0.625	6	1	0.142171456017875	0.6	FALSE	611	36	25
BTG2_Btg2	2	0.125	0.118	1	0	1	5	9	0.281405625	0.666666666666667	-0.666666666666667	2	0	0.291298282071445	0.8	FALSE	3	8138	26
TNRC18_Tnrc18	4	0.235	0.235	0	0	1	11	4	0.221889	0.75	0.75	4	0	0.253832143477273	0.733333333333333	FALSE	12	2266	27
DOT1L_Dot1l	4	0.235	0.235	0	0	1	7	8	0.145772117647059	0.5625	-0.5625	3	1	0.258091940364019	0.8	FALSE	10	2847	28
CTDSP2_Ctdsp2	6	0.375	0.353	1	0	1	7	7	0.268473925	0.533333333333333	-0.533333333333333	5	1	0.178649646341384	0.666666666666667	FALSE	165	183	29
BASP1_Basp1	8	0.471	0.471	0	1	0	6	9	0.496021176470588	0.625	0.625	6	2	0.0559487011511001	0.2	FALSE	10098	3	30
DUSP6_Dusp6	5	0.294	0.294	0	1	0	6	9	0.272215882352941	0.625	0.625	4	1	0.216117159507715	0.666666666666667	FALSE	47	656	31
PCNX1_Pcnx	7	0.412	0.412	0	0	1	10	5	0.243826470588235	0.6875	0.6875	7	0	0.137231191387098	0.733333333333333	FALSE	742	42	32
FAM81A_Fam81a	7	0.5	0.412	3	0	1	8	4	0.557110714285714	0.692307692307692	0.692307692307692	5	2	0.0914626800421722	0.2	FALSE	3923	8	33
TOB1_Tob1	4	0.235	0.235	0	0	1	8	7	0.311322352941176	0.5625	0.5625	3	1	0.246219225699885	0.8	FALSE	20	1683	34
BHLHE40_Bhlhe40	4	0.235	0.235	0	0	1	7	8	0.415546470588235	0.5625	-0.5625	3	1	0.240408896506396	0.666666666666667	FALSE	25	1360	35
ANXA3_Anxa3	6	0.375	0.353	1	1	0	8	7	0.5321844375	0.5625	-0.5625	5	1	0.149774025317019	0.6	FALSE	467	73	36
P2RX4_P2rx4	7	0.412	0.412	0	0	1	8	7	0.336281176470588	0.5625	0.5625	6	1	0.121150694000176	0.533333333333333	FALSE	1387	26	37
