Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
NEUROD1_Neurod1	8	0.8	0.8	0	0	5	4	1	3.639107	0.9	0.9	7	1	0.262430780346029	0.875	FALSE	8	8	1
HES6_Hes6	4	0.444	0.4	1	1	3	3	2	0.545771111111111	0.666666666666667	0.666666666666667	4	0	0.339113467592077	0.875	FALSE	1	3910	2
PARD6B_Pard6b	6	0.6	0.6	0	2	3	2	3	0.709941	0.6	-0.6	4	2	0.246038751180677	0.8125	FALSE	15	609	3
TRIM9_Trim9	9	0.9	0.9	0	0	5	2	3	1.4619	0.8	-0.8	7	2	0.0609291806859072	0.25	FALSE	9293	1	4
ZFP36_Zfp36	6	0.6	0.6	0	5	0	2	3	0.815984	0.8	0.8	5	1	0.241965425690101	0.625	FALSE	22	535	5
SRRM4_Srrm4	7	0.7	0.7	0	0	5	2	3	1.544723	0.8	-0.8	5	2	0.190355824101133	0.625	FALSE	172	71	6
CADM3_Cadm3	8	0.8	0.8	0	1	4	3	2	1.259013	0.7	0.7	6	2	0.134482759537314	0.5625	FALSE	1288	12	7
GSE1_Gse1	3	0.3	0.3	0	1	4	2	3	0.239702	0.7	-0.7	2	1	0.305702859603878	0.9375	FALSE	2	8258	8
PTPRK_Ptprk	9	0.9	0.9	0	3	2	1	4	1.090772	0.7	0.7	7	2	0.0952178140490887	0.4375	FALSE	4297	4	9
TLE3_Tle3	4	0.444	0.4	1	2	2	2	3	0.367951111111111	0.555555555555556	-0.555555555555556	4	0	0.286341348883212	0.75	FALSE	4	4443	10
TLCD1_Tlcd1	5	0.5	0.5	0	3	2	3	2	0.398496	0.6	-0.6	3	2	0.256217408650547	0.8125	FALSE	9	2162	11
TUBB_Tubb5	5	0.5	0.5	0	0	5	2	3	0.405272	0.8	-0.8	4	1	0.25331162957363	0.8125	FALSE	10	2148	12
MAP1B_Map1b	8	0.8	0.8	0	1	4	2	3	1.143574	0.7	-0.7	6	2	0.135173571895499	0.625	FALSE	1262	18	13
ID2_Id2	5	0.5	0.5	0	2	3	2	3	0.541684	0.6	-0.6	4	1	0.252749788960267	0.625	FALSE	12	1905	14
ADGRL3_Adgrl3	9	0.9	0.9	0	2	3	0	5	1.150527	0.8	-0.8	7	2	0.0437846852502293	0.5	FALSE	11773	2	15
PCBP4_Pcbp4	4	0.444	0.4	1	2	2	5	0	0.730506666666667	0.777777777777778	0.777777777777778	3	1	0.267699644106207	0.75	FALSE	7	3487	16
TSHZ1_Tshz1	7	0.7	0.7	0	2	3	1	4	0.481576	0.7	-0.7	5	2	0.207901580191417	0.75	FALSE	97	253	17
SOGA1_Soga1	9	0.9	0.9	0	1	4	2	3	0.747509	0.7	-0.7	7	2	0.0902450102436763	0.625	FALSE	4920	5	18
MEF2D_Mef2d	3	0.333	0.3	1	2	2	3	2	0.236357777777778	0.555555555555556	0.555555555555556	2	1	0.288268060172369	0.875	FALSE	3	8295	19
SOX4_Sox4	7	0.7	0.7	0	2	3	2	3	0.949404	0.6	-0.6	5	2	0.186135681816885	0.6875	FALSE	207	128	20
NAGLU_Naglu	5	0.5	0.5	0	4	1	1	4	0.586647	0.8	0.8	4	1	0.245890395148262	0.75	FALSE	16	1830	21
DISP2_Disp2	8	0.8	0.8	0	0	5	2	3	1.205538	0.8	-0.8	6	2	0.113596985733521	0.6875	FALSE	2516	14	22
KIF1B_Kif1b	7	0.7	0.7	0	0	5	3	2	0.464677	0.8	0.8	5	2	0.197681492871877	0.8125	FALSE	137	258	23
CDK5R1_Cdk5r1	8	0.8	0.8	0	1	4	3	2	1.103849	0.7	0.7	6	2	0.122617569565439	0.5625	FALSE	1882	19	24
ZBTB18_Zbtb18	4	0.4	0.4	0	1	4	3	2	0.791806	0.7	0.7	3	1	0.253244157210532	0.8125	FALSE	11	3385	25
MCL1_Mcl1	8	0.8	0.8	0	5	0	3	2	0.364257	0.8	-0.8	6	2	0.154348760276235	0.875	FALSE	642	63	26
HES1_Hes1	3	0.3	0.3	0	3	2	2	3	0.468928	0.6	0.6	1	2	0.277773608173686	0.75	FALSE	6	7062	27
SLC35F1_Slc35f1	9	0.9	0.9	0	2	3	1	4	1.094621	0.7	-0.7	7	2	0.0244901465951532	0.0625	FALSE	14576	3	28
COG1_Cog1	6	0.6	0.6	0	1	4	4	1	0.309859	0.8	0.8	4	2	0.225164193892966	0.9375	FALSE	49	957	29
SFT2D2_Sft2d2	9	0.9	0.9	0	5	0	1	4	0.546243	0.9	0.9	7	2	0.068333603865179	0.5625	FALSE	8162	6	30
CALM1_Calm1	6	0.6	0.6	0	0	5	2	3	0.362868	0.8	-0.8	5	1	0.222255246351103	0.6875	FALSE	58	890	31
ABHD14B_Abhd14b	4	0.4	0.4	0	4	1	3	2	0.507157	0.7	-0.7	3	1	0.248757651167995	0.75	FALSE	14	4023	32
ELAVL4_Elavl4	7	0.7	0.7	0	0	5	1	4	1.12691	0.9	-0.9	6	1	0.156577559731645	0.4375	FALSE	599	97	33
CBFA2T2_Cbfa2t2	6	0.667	0.6	1	0	4	3	2	0.410235555555556	0.777777777777778	0.777777777777778	6	0	0.215515220236757	0.875	FALSE	70	842	34
UGCG_Ugcg	9	0.9	0.9	0	1	4	1	4	0.4096546	0.8	-0.8	7	2	0.0661570495153901	0.4375	FALSE	8521	7	35
NOVA2_Nova2	8	0.8	0.8	0	0	5	3	2	1.033122	0.8	0.8	6	2	0.10857702810105	0.625	FALSE	2943	23	36
SLC17A7_Slc17a7	7	0.7	0.7	0	1	4	2	3	1.3686751	0.7	-0.7	5	2	0.146048603796007	0.75	FALSE	855	81	37
TTC3_Ttc3	8	0.8	0.8	0	1	4	3	2	0.648938	0.7	0.7	7	1	0.125757010580908	0.5625	FALSE	1705	41	38
SNX33_Snx33	8	0.8	0.8	0	4	1	2	3	0.817612	0.7	0.7	6	2	0.11901752900045	0.6875	FALSE	2139	33	39
JUND_Jund	1	0.1	0.1	0	3	2	1	4	0.213688	0.7	0.7	0	1	0.282404769150486	0.9375	FALSE	5	14293	40
CTDSP2_Ctdsp2	7	0.7	0.7	0	4	1	1	4	0.357386	0.8	0.8	6	1	0.178214930154703	0.75	FALSE	262	290	41
SMARCD2_Smarcd2	6	0.6	0.6	0	4	1	3	2	0.3499164	0.7	-0.7	5	1	0.210571399956971	0.8125	FALSE	88	911	42
TMEM121B_Tmem121b	8	0.8	0.8	0	0	5	2	3	1.536162	0.8	-0.8	6	2	0.063311130817057	0.3125	FALSE	8951	9	43
CORO2B_Coro2b	6	0.6	0.6	0	0	5	4	1	0.923522	0.9	0.9	4	2	0.190525283990719	0.625	FALSE	170	477	44
CALR_Calr	6	0.6	0.6	0	3	2	1	4	0.304424	0.7	0.7	5	1	0.211390257288756	0.8125	FALSE	85	965	45
ATP1B1_Atp1b1	8	0.8	0.8	0	1	4	1	4	0.725499	0.8	-0.8	6	2	0.118662036201009	0.75	FALSE	2160	38	46
MARCKS_Marcks	6	0.6	0.6	0	2	3	3	2	0.486941	0.6	0.6	4	2	0.205639059452062	0.5625	FALSE	108	770	47
AGAP3_Agap3	7	0.7	0.7	0	0	5	3	2	0.442007	0.8	0.8	5	2	0.173107275528133	0.6875	FALSE	326	265	48
CRIP2_Crip2	8	0.8	0.8	0	3	2	1	4	0.799681	0.7	0.7	6	2	0.11489260138617	0.6875	FALSE	2421	36	49
