Symbol	Count_DE	Proportion_DE_measured	Proportion_DE_all	Count_NA	GoF_down	GoF_up	LoF_down	LoF_up	Avg_abs_FC	FC_purity	FC_signed_purity	Count_DE_mm	Count_DE_hg	Mean_bind	Proportion_binary	Curated_target	Rank_binding	Rank_perturbation	Rank_integrated
PAX6_Pax6	11	0.5	0.478	1	0	3	10	3	1.26892727272727	0.8125	0.8125	8	3	0.215986897447606	0.727272727272727	TRUE	60	1	1
MAB21L1_Mab21l1	8	0.381	0.348	2	1	2	7	5	1.25031952380952	0.6	0.6	6	2	0.243961789633444	0.727272727272727	TRUE	20	12	2
NTRK2_Ntrk2	9	0.429	0.391	2	0	2	11	2	1.13454142857143	0.866666666666667	0.866666666666667	7	2	0.125018954165515	0.454545454545455	FALSE	1109	2	3
RLBP1_Rlbp1	8	0.421	0.348	4	0	2	8	3	2.17365210526316	0.769230769230769	0.769230769230769	5	3	0.170367056921569	0.545454545454545	TRUE	244	11	4
PKDCC_Pkdcc	7	0.333	0.304	2	2	1	10	3	0.608402761904762	0.75	-0.75	4	3	0.22207982919128	0.545454545454545	FALSE	50	79	5
TMEM167B_Tmem167b	4	0.182	0.174	1	0	3	9	4	0.179528590909091	0.75	0.75	3	1	0.320284537552567	0.909090909090909	FALSE	2	3530	6
KIF21A_Kif21a	5	0.217	0.217	0	2	1	10	4	0.376292608695652	0.705882352941177	-0.705882352941177	3	2	0.279082667442725	0.727272727272727	FALSE	7	1082	7
PLK3_Plk3	7	0.333	0.304	2	1	2	4	8	0.837066666666667	0.666666666666667	-0.666666666666667	6	1	0.186902541182444	0.727272727272727	FALSE	148	55	8
NRP1_Nrp1	8	0.381	0.348	2	1	1	5	8	1.04957619047619	0.6	-0.6	6	2	0.138779461641525	0.363636363636364	FALSE	662	14	9
ATP1B1_Atp1b1	9	0.391	0.391	0	1	2	6	8	0.555577639130435	0.588235294117647	-0.588235294117647	6	3	0.116992191394247	0.363636363636364	FALSE	1492	7	10
TRIR_Trir	2	0.087	0.087	0	0	3	8	6	0.195453043478261	0.647058823529412	0.647058823529412	0	2	0.359913777150272	0.909090909090909	FALSE	1	10567	11
TNPO2_Tnpo2	6	0.261	0.261	0	0	3	7	7	0.247277782608696	0.588235294117647	-0.588235294117647	4	2	0.239110105064522	0.909090909090909	FALSE	26	440	12
NEUROD1_Neurod1	4	0.2	0.174	3	1	2	7	5	1.3311675	0.6	0.6	3	1	0.275755444675719	0.727272727272727	TRUE	9	1457	13
BLVRA_Blvra	5	0.217	0.217	0	2	1	1	13	0.436212826086956	0.882352941176471	0.882352941176471	4	1	0.267550611036537	0.727272727272727	FALSE	14	976	14
ARID5B_Arid5b	5	0.217	0.217	0	0	3	8	6	0.822880695652174	0.647058823529412	0.647058823529412	4	1	0.240297855956026	0.636363636363636	FALSE	24	591	15
TOX_Tox	7	0.318	0.304	1	2	1	6	7	0.761545909090909	0.5625	0.5625	6	1	0.169761246300913	0.636363636363636	FALSE	249	63	16
PFKM_Pfkm	7	0.304	0.304	0	2	1	8	6	0.317563434782609	0.588235294117647	-0.588235294117647	4	3	0.192012829015097	0.727272727272727	FALSE	131	124	17
ASCL1_Ascl1	6	0.4	0.261	8	0	2	3	5	1.14971666666667	0.7	-0.7	5	1	0.194927028255806	0.727272727272727	TRUE	117	143	18
CHCHD5_Chchd5	3	0.136	0.13	1	2	1	4	9	0.240470454545455	0.6875	0.6875	2	1	0.2845715818394	0.727272727272727	FALSE	3	6325	19
MYT1_Myt1	8	0.4	0.348	3	0	3	5	6	0.7544695	0.642857142857143	-0.642857142857143	5	3	0.130107379191371	0.272727272727273	FALSE	930	21	20
MAP2_Map2	7	0.318	0.304	1	1	2	4	9	1.3101	0.6875	-0.6875	5	2	0.144583703306796	0.272727272727273	FALSE	538	39	21
ABHD4_Abhd4	9	0.391	0.391	0	2	1	4	10	0.354427391304348	0.705882352941177	0.705882352941177	6	3	0.106159197930644	0.272727272727273	FALSE	2141	10	22
FOXP2_Foxp2	6	0.3	0.261	3	1	2	5	7	1.1260685	0.6	-0.6	4	2	0.186695262500147	0.545454545454545	TRUE	150	146	23
CCND1_Ccnd1	7	0.304	0.304	0	1	2	11	3	0.511493652173913	0.764705882352941	0.764705882352941	5	2	0.172343975827911	0.545454545454545	TRUE	232	95	24
ID3_Id3	8	0.364	0.348	1	2	1	8	5	0.598081363636364	0.625	-0.625	5	3	0.131052266558415	0.363636363636364	FALSE	878	26	25
NEK7_Nek7	3	0.143	0.13	2	3	0	5	7	0.283832857142857	0.666666666666667	0.666666666666667	3	0	0.283478631999024	0.727272727272727	FALSE	4	5959	26
ALDOC_Aldoc	8	0.364	0.348	1	3	0	7	6	0.877041363636364	0.625	-0.625	6	2	0.115849375548483	0.363636363636364	FALSE	1542	16	27
AMBRA1_Ambra1	6	0.273	0.261	1	1	2	7	6	0.419017681818182	0.5625	0.5625	3	3	0.211717777714395	0.727272727272727	FALSE	71	351	28
TTC28_Ttc28	8	0.364	0.348	1	2	1	8	5	0.88904	0.625	-0.625	7	1	0.112841301099333	0.363636363636364	FALSE	1699	15	29
SENP1_Senp1	4	0.182	0.174	1	1	2	9	4	0.482727727272727	0.6875	0.6875	3	1	0.271814370327687	0.727272727272727	FALSE	12	2237	30
STOML2_Stoml2	7	0.318	0.304	1	2	1	4	9	0.292856454545455	0.6875	0.6875	6	1	0.175062224491749	0.454545454545455	FALSE	214	127	31
DDR1_Ddr1	5	0.227	0.217	1	2	1	4	9	0.365663181818182	0.6875	0.6875	2	3	0.238147444814141	0.818181818181818	FALSE	27	1107	32
IGFBP5_Igfbp5	9	0.409	0.391	1	0	3	7	6	1.03690109090909	0.625	0.625	7	2	0.0639240818278923	0.272727272727273	TRUE	7699	4	33
ALCAM_Alcam	8	0.348	0.348	0	2	1	7	7	0.792980869565217	0.529411764705882	0.529411764705882	6	2	0.112658572669618	0.272727272727273	FALSE	1711	19	34
TLE3_Tle3	7	0.318	0.304	1	2	1	11	2	0.598032272727273	0.8125	-0.8125	7	0	0.154017134428125	0.454545454545455	FALSE	393	84	35
ZNF608_Zfp608	5	0.227	0.217	1	1	2	8	5	0.363264545454545	0.625	0.625	3	2	0.234005329482623	0.545454545454545	FALSE	30	1110	36
TLE4_Tle4	6	0.261	0.261	0	1	2	4	10	0.57526347826087	0.705882352941177	-0.705882352941177	4	2	0.192307361209794	0.545454545454545	FALSE	128	275	37
BCL2L13_Bcl2l13	4	0.174	0.174	0	2	1	9	5	0.325331173913043	0.647058823529412	-0.647058823529412	2	2	0.26868833667024	0.727272727272727	FALSE	13	2819	38
ID2_Id2	5	0.217	0.217	0	1	2	6	8	0.464503043478261	0.588235294117647	-0.588235294117647	2	3	0.228039110985366	0.545454545454545	FALSE	40	926	39
CHGA_Chga	8	0.421	0.348	4	2	1	4	6	0.791361842105263	0.615384615384615	0.615384615384615	6	2	0.108043497562881	0.363636363636364	FALSE	2015	20	40
SRCAP_Srcap	3	0.158	0.13	4	0	2	9	2	0.351256231578947	0.846153846153846	0.846153846153846	2	1	0.277534225798525	0.727272727272727	FALSE	8	5445	41
PRKCB_Prkcb	9	0.45	0.391	3	2	1	7	4	1.113182	0.642857142857143	-0.642857142857143	7	2	0.030393855827676	0	FALSE	14822	3	42
TUBGCP2_Tubgcp2	5	0.227	0.217	1	0	3	6	7	0.200925227272727	0.625	-0.625	4	1	0.230356289652661	0.636363636363636	FALSE	34	1413	43
FBXO7_Fbxo7	2	0.095	0.087	2	1	2	6	6	0.300235	0.533333333333333	-0.533333333333333	1	1	0.282889549657026	0.727272727272727	FALSE	5	9651	44
FAM210B_Fam210b	8	0.348	0.348	0	2	1	8	6	0.609185217391304	0.588235294117647	-0.588235294117647	6	2	0.108020980420411	0.272727272727273	FALSE	2017	24	45
CHERP_Cherp	6	0.273	0.261	1	0	3	7	6	0.203783045454545	0.625	0.625	5	1	0.198028873600208	0.545454545454545	FALSE	106	460	46
NABP1_Nabp1	8	0.4	0.348	3	1	1	9	3	0.47097	0.714285714285714	0.714285714285714	5	3	0.114041099333647	0.181818181818182	FALSE	1634	30	47
BAMBI_Bambi	9	0.45	0.391	3	0	3	4	7	0.6943565	0.714285714285714	-0.714285714285714	6	3	0.0614308566262564	0.0909090909090909	FALSE	8177	6	48
TFRC_Tfrc	9	0.391	0.391	0	2	1	7	7	0.486350434782609	0.529411764705882	0.529411764705882	7	2	0.0715647065499725	0.0909090909090909	FALSE	6242	8	49
PCSK2_Pcsk2	8	0.421	0.348	4	0	3	8	3	0.603621578947368	0.785714285714286	0.785714285714286	4	4	0.107191505890904	0.181818181818182	TRUE	2066	25	50
RGS16_Rgs16	7	0.333	0.304	2	1	2	6	6	0.722228571428571	0.533333333333333	-0.533333333333333	5	2	0.133883408028375	0.272727272727273	FALSE	776	68	51
RND3_Rnd3	6	0.261	0.261	0	1	2	4	10	0.563971217391304	0.705882352941177	-0.705882352941177	4	2	0.177985486441689	0.636363636363636	FALSE	199	276	52
ATG13_Atg13	2	0.091	0.087	1	3	0	6	7	0.371429545454545	0.625	0.625	1	1	0.281272374937048	0.727272727272727	FALSE	6	9161	53
ST8SIA1_St8sia1	7	0.333	0.304	2	1	2	9	3	1.44166333333333	0.733333333333333	0.733333333333333	4	3	0.115422795269852	0.181818181818182	FALSE	1565	37	54
DKK3_Dkk3	7	0.333	0.304	2	1	1	9	4	0.68422619047619	0.666666666666667	0.666666666666667	5	2	0.131924829417088	0.363636363636364	TRUE	846	69	55
SEMA3A_Sema3a	5	0.238	0.217	2	1	2	9	3	0.756275619047619	0.733333333333333	0.733333333333333	3	2	0.203518585257197	0.545454545454545	FALSE	92	635	56
MXRA7_Mxra7	7	0.35	0.304	3	0	3	9	2	0.800839	0.857142857142857	0.857142857142857	5	2	0.127186315815388	0.454545454545455	FALSE	1026	57	57
AFF1_Aff1	7	0.318	0.304	1	3	0	9	4	0.380079090909091	0.75	-0.75	5	2	0.144699162559497	0.454545454545455	FALSE	536	114	58
CALD1_Cald1	9	0.391	0.391	0	1	2	7	7	0.735744913043478	0.529411764705882	-0.529411764705882	6	3	0.0410586079494898	0	FALSE	12657	5	59
ABCB8_Abcb8	4	0.174	0.174	0	2	1	9	5	0.33476652173913	0.647058823529412	-0.647058823529412	3	1	0.24104569218314	0.636363636363636	FALSE	23	2771	60
MFAP3L_Mfap3l	5	0.227	0.217	1	1	2	6	7	0.528782772727273	0.5625	-0.5625	3	2	0.210305836814793	0.636363636363636	FALSE	76	848	61
CENPV_Cenpv	7	0.333	0.304	2	1	2	6	6	0.558056619047619	0.533333333333333	-0.533333333333333	6	1	0.135344122957948	0.272727272727273	FALSE	743	88	62
RPS6KA2_Rps6ka2	7	0.35	0.304	3	1	2	10	4	0.453796	0.705882352941177	0.705882352941177	5	2	0.13847124135987	0.272727272727273	FALSE	663	102	63
PKIG_Pkig	8	0.364	0.348	1	1	2	5	8	0.499289545454545	0.625	-0.625	6	2	0.1009155223702	0.0909090909090909	FALSE	2565	29	64
LGI1_Lgi1	6	0.375	0.261	7	0	2	2	7	1.2589125	0.818181818181818	-0.818181818181818	4	2	0.144203656121569	0.363636363636364	FALSE	548	139	65
CLASP1_Clasp1	3	0.136	0.13	1	1	2	6	7	0.433418636363636	0.5625	-0.5625	2	1	0.260888783602412	0.727272727272727	FALSE	16	4987	66
DLL1_Dll1	4	0.182	0.174	1	1	2	4	9	0.532896363636364	0.6875	-0.6875	3	1	0.228574618780018	0.545454545454545	FALSE	38	2114	67
ITPR1_Itpr1	8	0.364	0.348	1	2	1	3	10	0.588088181818182	0.75	0.75	7	1	0.0957571356419858	0.272727272727273	FALSE	2988	27	68
RNASE4_Rnase4	6	0.333	0.261	5	1	2	3	7	0.391381111111111	0.692307692307692	-0.692307692307692	4	2	0.172874123057326	0.272727272727273	FALSE	227	371	69
UQCR11_Uqcr11	5	0.217	0.217	0	1	2	6	8	0.247126	0.588235294117647	-0.588235294117647	2	3	0.215078418710766	0.727272727272727	FALSE	64	1340	70
ARID1A_Arid1a	5	0.217	0.217	0	2	1	7	7	0.367506782608696	0.529411764705882	0.529411764705882	3	2	0.209166727799736	0.545454545454545	FALSE	79	1102	71
ATF4_Atf4	6	0.273	0.261	1	2	1	6	7	0.240068090909091	0.5625	0.5625	5	1	0.178090691014983	0.636363636363636	FALSE	197	442	72
ADGRL2_Adgrl2	6	0.286	0.261	2	1	2	4	8	0.526045238095238	0.666666666666667	-0.666666666666667	5	1	0.163030544777998	0.181818181818182	FALSE	312	295	73
